member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BE0161,P010802,P010902,DSTL4,-17577.0053290471,62263.861789635,-92172.3371298196,0.274147871985915
BE0162,P010802,P010803,DSTL4,-4523.60646022129,-40299.2956805515,-18175.6597365328,0.0480004559486986
BE0163,P010902,P010903,DSTL7,-8572.57734528466,-43689.73820125,-25651.9246676646,0.0787464851277575
BE0181,P010803,P010804,DSTL3,-2286.91518359272,-51259.4577001529,-25667.4490928156,0.0410642102573065
BE0182,P010903,P010904,DSTL3,5459.33439405386,-45691.2420834965,-37218.42530447,0.0441216858489795
BE0199,P010804,P010904,DSTL7,-2708.99602177801,131104.059785255,242669.761907781,0.143339433993567
BR0118,P000802,P000903,Wind Y,0,0,-38938.0061062604,0.0131038878225064
BR0120,P000802,P010902,Wind Y,-41041.4440986826,-34792.7503527212,30391.2147250467,0
BR0121,P000802,P010803,DSTL3,-23499.1327184323,-134389.005247096,-39278.5980193705,0.645994410058647
BR0122,P000902,P000803,Wind Y,0,0,-38938.0061062604,0.0131038878225064
BR0125,P000902,P010903,DSTL4,-38266.5225288753,-108467.121030023,94358.554663704,0.397560871919901
BR0173,P000803,P000904,Wind Y,0,0,-38938.0061062604,0.0131038878225064
BR0174,P000803,P010802,DSTL4,-18655.345876037,-88880.7441885125,-62097.88944628,0.513035972897464
BR0178,P000903,P000804,Wind Y,0,0,-38938.0061062604,0.0131038878225064
BR0179,P000903,P010902,DSTL3,-9861.70671140898,107009.645428747,-92553.3620764593,0.110395256691672
BR0180,P000903,P010803,DSTL3,-9861.70671140898,107009.645428747,-92553.3620764593,0.110395256691672
BR0181,P000903,P010904,DSTL4,-23506.1395096859,153744.015901495,117702.52143481,0.28777661217859
BR0229,P000804,P010803,DSTL4,-23030.9441616313,-145214.270299565,-115218.882159399,0.652656097794977
BR0231,P000804,P010904,DSTL4,-23030.9441616313,-145214.270299565,86751.6756914065,0.652656097794977
BR0234,P000904,P010903,DSTL3,-37831.533374462,162445.426527036,-109895.614117269,0.41348874927767
BR0460,P010802,P010903,DSTL7,-25195.8002742543,84023.1486160756,78910.2382986802,0.269368836462356
BR0464,P010902,P010803,DSTL4,-17984.5095360763,57185.0866516336,-97107.2835449759,0.119754966115557
BR0515,P010803,P010904,DSTL3,-18231.7423394766,-107470.818987534,-96357.796738987,0.150121343928834
BR0520,P010903,P010804,DSTL4,-3206.83214760414,-110015.323539811,-107949.601800975,0.0873151327115355
CO0023,P000802,P010802,DSTL3,-13540.1097844519,162374.357599312,60498.0403793689,0.346975968020239
CO0024,P000902,P010902,DSTL4,-66217.9553429348,-165154.550355624,-51010.1252294943,1.43866374460409
CO0034,P000903,P010903,DSTL4,-66217.9553429348,-165154.550355624,-51010.1252294943,1.43866374460409
CO0043,P000804,P010804,DSTL7,-524.287643582922,426370.459152291,-25305.0167132894,0.157442679391062
CO0044,P000904,P010904,DSTL3,-29323.2600694502,371689.431171742,41963.0621883845,0.732187643673407
