member_ID,cost
BE0001,3.86
BE0002,3.86
BE0003,3.86
BE0004,3.86
BE0005,3.86
BE0006,3.86
BE0007,3.86
BE0008,3.86
BE0009,3.86
BE0010,3.86
BE0011,3.86
BE0012,3.86
BE0013,3.86
BE0014,3.86
BE0015,3.86
BE0016,3.86
BE0017,3.86
BE0018,3.86
BE0019,3.86
BE0020,3.86
BE0021,3.86
BE0022,3.86
BE0023,3.86
BE0024,3.86
BE0025,3.86
BE0026,3.86
BE0027,3.86
BE0028,3.86
BE0029,3.86
BE0030,3.86
BE0031,3.86
BE0032,3.86
BE0033,3.86
BE0034,3.86
BE0035,3.86
BE0036,3.86
BE0037,3.86
BE0038,3.86
BE0039,4.5
BE0040,3.86
BE0041,3.86
BE0042,3.86
BE0043,3.86
BE0044,3.86
BE0045,3.86
BE0046,3.86
BE0047,3.86
BE0048,3.86
BE0049,3.86
BE0050,3.86
BE0051,2.6
BE0052,2.6
BE0053,4.5
BE0054,2.6
BE0055,2.6
BE0056,2.6
BE0057,2.6
BE0058,2.6
BE0059,3.86
BE0060,3.86
BE0061,3.86
BE0062,3.86
BE0063,3.86
BE0064,3.86
BE0065,3.86
BE0066,3.86
BE0067,3.86
BE0068,3.86
BE0069,3.86
BE0070,3.86
BE0071,3.86
BE0072,3.86
BE0073,3.86
BE0074,3.86
BE0075,3.86
BE0076,4.5
BE0077,2.6
BE0078,4.5
BE0079,2.6
BE0080,4.5
BE0081,2.6
BE0082,2.6
BE0083,3.86
BE0084,4.5
BE0085,2.6
BE0086,4.5
BE0087,2.6
BE0088,2.6
BE0089,2.6
BE0090,4.5
BE0091,2.6
BE0092,4.5
BE0093,2.6
BE0094,4.5
BE0095,2.6
BE0096,2.6
BE0097,2.6
BE0098,2.6
BR0001,28.2022468634
BR0002,28.2022468634
BR0003,28.2022468634
BR0004,28.2022468634
BR0005,28.2022468634
BR0006,28.2022468634
BR0007,28.2022468634
BR0008,28.2022468634
BR0009,33.7926330759
BR0010,37.2970542838
BR0011,28.2022468634
BR0012,28.2022468634
BR0013,28.2022468634
BR0014,28.2022468634
BR0015,28.2022468634
BR0016,28.2022468634
BR0017,28.2022468634
BR0018,28.2022468634
BR0019,28.2022468634
BR0020,28.2022468634
BR0021,28.2022468634
BR0022,28.2022468634
BR0023,28.2022468634
BR0024,28.2022468634
BR0025,28.2022468634
BR0026,28.2022468634
BR0027,28.2022468634
BR0028,28.2022468634
BR0029,28.2022468634
BR0030,28.2022468634
BR0031,28.2022468634
BR0032,28.2022468634
BR0033,28.2022468634
BR0034,28.2022468634
BR0035,28.2022468634
BR0036,28.2022468634
BR0037,28.3691240638
BR0038,28.3691240638
BR0039,28.2022468634
BR0040,28.2022468634
BR0041,28.2022468634
BR0042,28.2022468634
BR0043,28.2022468634
BR0044,28.2022468634
BR0045,28.2022468634
BR0046,28.2022468634
BR0047,28.3691240638
BR0048,28.3691240638
BR0049,28.2022468634
BR0050,28.2022468634
BR0051,28.2022468634
BR0052,28.2022468634
BR0053,28.2022468634
BR0054,28.2022468634
BR0055,28.2022468634
BR0056,28.2022468634
BR0057,33.7926330759
BR0058,33.7926330759
BR0059,28.2022468634
BR0060,28.2022468634
BR0061,28.2022468634
BR0062,28.2022468634
BR0063,28.2022468634
BR0064,28.2022468634
BR0065,28.2022468634
BR0066,28.2022468634
BR0067,37.2970542838
BR0068,37.2970542838
BR0069,28.2022468634
BR0070,28.2022468634
BR0071,28.2022468634
BR0072,28.2022468634
BR0073,28.2022468634
BR0074,28.2022468634
BR0075,28.2022468634
BR0076,28.2022468634
BR0077,28.3691240638
BR0078,28.3691240638
BR0079,28.2022468634
BR0080,28.2022468634
BR0081,28.2022468634
BR0082,28.2022468634
BR0083,28.2022468634
BR0084,28.2022468634
BR0085,28.2022468634
BR0086,28.2022468634
BR0087,28.3691240638
BR0088,33.7926330759
BR0089,28.2022468634
BR0090,28.2022468634
BR0091,28.2022468634
BR0092,28.2022468634
BR0093,28.2022468634
BR0094,28.2022468634
BR0095,28.2022468634
BR0096,28.2022468634
BR0097,28.2022468634
BR0098,28.2022468634
BR0099,28.2022468634
BR0100,28.2022468634
BR0101,28.2022468634
BR0102,28.2022468634
BR0103,28.2022468634
BR0104,28.2022468634
BR0105,28.2022468634
BR0106,28.2022468634
BR0107,28.2022468634
BR0108,28.2022468634
BR0109,28.2022468634
BR0110,28.2022468634
BR0111,28.2022468634
BR0112,28.2022468634
BR0113,28.2022468634
BR0114,28.2022468634
BR0115,28.2022468634
BR0116,28.2022468634
BR0117,28.2022468634
BR0118,28.2022468634
BR0119,28.2022468634
BR0120,28.2022468634
BR0121,28.2022468634
BR0122,28.2022468634
BR0123,28.2022468634
BR0124,28.2022468634
BR0125,28.2022468634
BR0126,28.2022468634
BR0127,28.2022468634
BR0128,28.2022468634
BR0129,28.2022468634
BR0130,28.2022468634
BR0131,28.3691240638
BR0132,28.3691240638
BR0133,28.2022468634
BR0134,28.2022468634
BR0135,28.2022468634
BR0136,28.2022468634
BR0137,28.3691240638
BR0138,28.3691240638
BR0139,28.2022468634
BR0140,28.2022468634
BR0141,28.2022468634
BR0142,28.2022468634
BR0143,28.3691240638
BR0144,28.3691240638
BR0145,28.2022468634
BR0146,28.2022468634
BR0147,28.2022468634
BR0148,28.2022468634
BR0149,28.3691240638
BR0150,28.3691240638
BR0151,28.2022468634
BR0152,28.2022468634
BR0153,28.2022468634
BR0154,28.2022468634
BR0155,28.2022468634
BR0156,28.2022468634
BR0157,28.2022468634
BR0158,28.2022468634
BR0159,28.2022468634
BR0160,28.2022468634
BR0161,28.2022468634
BR0162,28.3691240638
BR0163,28.2022468634
BR0164,28.2022468634
BR0165,28.2022468634
BR0166,28.2022468634
BR0167,28.2022468634
BR0168,28.2022468634
BR0169,28.2022468634
BR0170,28.2022468634
BR0171,28.3691240638
BR0172,28.3691240638
BR0173,28.2022468634
BR0174,28.2022468634
BR0175,28.2022468634
BR0176,28.2022468634
BR0177,28.3691240638
BR0178,28.3691240638
BR0179,28.2022468634
BR0180,28.2022468634
BR0181,28.2022468634
BR0182,28.2022468634
BR0183,28.3691240638
BR0184,28.3691240638
BR0185,37.2970542838
BR0186,37.2970542838
BR0187,28.2022468634
BR0188,28.2022468634
BR0189,33.7926330759
BR0190,33.7926330759
BR0191,28.2022468634
BR0192,28.2022468634
BR0193,28.3691240638
BR0194,28.3691240638
BR0195,37.2970542838
BR0196,37.2970542838
BR0197,37.2970542838
BR0198,37.2970542838
BR0199,28.2022468634
BR0200,28.2022468634
BR0201,28.2022468634
BR0202,37.2970542838
BR0203,28.3691240638
BR0204,28.2022468634
BR0205,37.2970542838
BR0206,45.6409143026
BR0207,39.3830192885
BR0208,39.3830192885
BR0209,28.2022468634
BR0210,28.2022468634
BR0211,28.2022468634
BR0212,45.6409143026
BR0213,28.2022468634
BR0214,28.2022468634
BR0215,28.2022468634
BR0216,28.2022468634
BR0217,28.2022468634
BR0218,28.2022468634
BR0219,28.2022468634
BR0220,28.3691240638
BR0221,28.2022468634
BR0222,28.2022468634
BR0223,28.2022468634
BR0224,28.2022468634
BR0225,28.2022468634
BR0226,28.3691240638
BR0227,28.2022468634
BR0228,28.2022468634
BR0229,28.2022468634
BR0230,28.2022468634
BR0231,28.2022468634
BR0232,28.2022468634
BR0233,28.2022468634
BR0234,28.2022468634
BR0235,28.2022468634
BR0236,28.3691240638
BR0237,28.2022468634
BR0238,28.2022468634
BR0239,28.2022468634
BR0240,28.2022468634
BR0241,28.2022468634
BR0242,28.2022468634
BR0243,28.2022468634
BR0244,28.2022468634
BR0245,28.2022468634
BR0246,28.2022468634
BR0247,28.2022468634
BR0248,28.2022468634
BR0249,28.2022468634
BR0250,28.2022468634
BR0251,28.2022468634
BR0252,28.2022468634
BR0253,28.2022468634
BR0254,28.2022468634
BR0255,28.2022468634
BR0256,28.2022468634
BR0257,28.2022468634
BR0258,28.2022468634
BR0259,28.2022468634
BR0260,28.2022468634
BR0261,28.2022468634
BR0262,28.2022468634
BR0263,28.2022468634
BR0264,28.2022468634
BR0265,33.7926330759
BR0266,28.3691240638
BR0267,28.2022468634
BR0268,28.2022468634
BR0269,28.2022468634
BR0270,28.2022468634
BR0271,28.2022468634
BR0272,28.2022468634
BR0273,28.2022468634
BR0274,28.2022468634
BR0275,28.2022468634
BR0276,28.2022468634
BR0277,28.2022468634
BR0278,28.2022468634
BR0279,28.2022468634
BR0280,28.2022468634
BR0281,28.3691240638
BR0282,33.7926330759
BR0283,28.2022468634
BR0284,28.2022468634
BR0285,28.2022468634
BR0286,28.2022468634
BR0287,28.2022468634
BR0288,28.2022468634
BR0289,28.2022468634
BR0290,28.2022468634
BR0291,28.2022468634
BR0292,28.2022468634
BR0293,28.2022468634
BR0294,28.2022468634
BR0295,28.2022468634
BR0296,28.2022468634
BR0297,28.2022468634
BR0298,28.2022468634
BR0299,28.2022468634
BR0300,28.2022468634
BR0301,28.2022468634
BR0302,28.3691240638
BR0303,28.2022468634
BR0304,28.2022468634
BR0305,28.2022468634
BR0306,28.2022468634
BR0307,28.3691240638
BR0308,28.3691240638
BR0309,28.2022468634
BR0310,28.2022468634
BR0311,28.2022468634
BR0312,28.2022468634
BR0313,28.2022468634
BR0314,28.2022468634
BR0315,28.2022468634
BR0316,28.2022468634
BR0317,28.2022468634
BR0318,28.2022468634
BR0319,28.3691240638
BR0320,28.3691240638
BR0321,28.2022468634
BR0322,28.2022468634
BR0323,28.2022468634
BR0324,28.2022468634
BR0325,28.2022468634
BR0326,28.3691240638
BR0327,28.2022468634
BR0328,28.2022468634
BR0329,28.2022468634
BR0330,28.2022468634
BR0331,33.7926330759
BR0332,33.7926330759
BR0333,28.2022468634
BR0334,28.2022468634
BR0335,28.3691240638
BR0336,33.7926330759
BR0337,28.2022468634
BR0338,28.2022468634
BR0339,28.2022468634
BR0340,28.2022468634
BR0341,28.2022468634
BR0342,28.3691240638
BR0343,28.2022468634
BR0344,28.2022468634
BR0345,28.2022468634
BR0346,28.2022468634
BR0347,28.2022468634
BR0348,28.2022468634
BR0349,28.2022468634
BR0350,28.2022468634
BR0351,28.2022468634
BR0352,28.2022468634
BR0353,28.2022468634
BR0354,28.2022468634
BR0355,28.2022468634
BR0356,28.2022468634
BR0357,37.2970542838
BR0358,37.2970542838
BR0359,28.2022468634
BR0360,28.2022468634
BR0361,28.3691240638
BR0362,28.2022468634
BR0363,28.2022468634
BR0364,28.2022468634
BR0365,28.3691240638
BR0366,28.3691240638
BR0367,39.3830192885
BR0368,39.3830192885
BR0369,37.2970542838
BR0370,37.2970542838
BR0371,28.2022468634
BR0372,28.2022468634
BR0373,28.2022468634
BR0374,28.2022468634
BR0375,28.2022468634
BR0376,39.3830192885
