member_ID,load_inverse
BE0001,4.2363864861e-17
BE0002,4.23642879221e-17
BE0003,4.23642879221e-17
BE0004,4.23642879221e-17
BE0005,4.23642879221e-17
BE0006,4.23643100945e-17
BE0007,4.23642879221e-17
BE0008,4.23642879221e-17
BE0009,4.23642879221e-17
BE0010,4.23642879221e-17
BE0011,4.23642879221e-17
BE0012,4.23642879221e-17
BE0013,4.23642879221e-17
BE0014,4.23642879221e-17
BE0015,4.23642879222e-17
BE0016,4.23643100946e-17
BE0017,4.23642879221e-17
BE0018,4.23642879221e-17
BE0019,4.23643100945e-17
BE0020,4.2363864861e-17
BE0021,4.23642879221e-17
BE0022,4.23642879222e-17
BE0023,4.23642879221e-17
BE0024,4.23642879222e-17
BE0025,4.23642879221e-17
BE0026,4.23642879222e-17
BE0027,4.23642879221e-17
BE0028,4.23643100945e-17
BE0029,4.23643100946e-17
BE0030,4.23638870334e-17
BE0031,4.2363864861e-17
BE0032,4.23643100945e-17
BE0033,4.23642879221e-17
BE0034,4.23642879221e-17
BE0035,4.2363864861e-17
BE0036,4.23642879221e-17
BE0037,2.94972758942e-15
BE0038,2.99868638932e-15
BE0039,3.44930236199e-15
BE0040,4.89131784085e-16
BE0041,4.12419601333e-16
BE0042,1.57095103787e-16
BE0043,3.59885768969e-16
BE0044,1.1679836479e-16
BE0045,4.00301118649e-16
BE0046,9.75296513299e-17
BE0047,1.29995841682e-16
BE0048,6.53628725791e-17
BE0049,1.5627828843e-16
BE0050,1.74463029632e-16
BE0051,1.30444415338e-16
BE0052,2.45011549806e-16
BE0053,3.17985666724e-15
BE0054,3.43524966402e-16
BE0055,4.09660765953e-16
BE0056,3.25867193308e-16
BE0057,3.03216347986e-16
BE0058,3.30914849743e-16
BE0059,2.76240102521e-16
BE0060,4.33861346231e-16
BE0061,1.21422757703e-16
BE0062,2.18576507399e-16
BE0063,2.74559062293e-16
BE0064,1.58365264706e-15
BE0065,3.32495698859e-16
BE0066,1.1040236719e-15
BE0067,9.66515882173e-17
BE0068,1.60715870386e-16
BE0069,4.45268267361e-16
BE0070,5.66598777029e-16
BE0071,1.91617350974e-15
BE0072,1.72014677908e-15
BE0073,1.59216290854e-15
BE0074,6.27635795008e-15
BE0075,5.51299276322e-15
BE0076,3.33567117011e-15
BE0077,6.21914869035e-16
BE0078,3.10672210463e-15
BE0079,1.45840636504e-16
BE0080,2.74586887282e-15
BE0081,1.52397049469e-16
BE0082,1.17244297958e-15
BE0083,2.68761630811e-16
BE0084,3.12135149532e-15
BE0085,2.90655351018e-16
BE0086,3.30372421486e-15
BE0087,4.30776596102e-16
BE0088,3.57048172982e-16
BE0089,2.4808281713e-16
BE0090,3.29788019191e-15
BE0091,1.113208852e-16
BE0092,3.26040792687e-15
BE0093,1.95705446079e-16
BE0094,3.43198972997e-15
BE0095,4.12737872474e-16
BE0096,1.46603518013e-15
BE0097,1.86439343462e-16
BE0098,2.53141119037e-16
BR0001,4.56285613872e-16
BR0002,6.60076936345e-16
BR0003,3.63980165431e-16
BR0004,2.6352124874e-16
BR0005,8.54298405033e-16
BR0006,1.2094417962e-15
BR0007,5.5096215216e-17
BR0008,5.5096215216e-17
BR0009,2.40551479624e-16
BR0010,5.89944856375e-16
BR0011,1.0210821486e-16
BR0012,9.3607883048e-17
BR0013,2.17788862001e-16
BR0014,1.230557526e-15
BR0015,5.50961134914e-17
BR0016,5.50963169429e-17
BR0017,1.41758688196e-16
BR0018,1.43002418513e-16
BR0019,6.76033887162e-17
BR0020,7.08750057366e-17
BR0021,1.02860255345e-16
BR0022,1.81676162468e-16
BR0023,5.50960445622e-17
BR0024,5.50961409552e-17
BR0025,5.50962205459e-17
BR0026,5.50962098837e-17
BR0027,1.37591747586e-16
BR0028,1.42618265296e-16
BR0029,7.7621634813e-17
BR0030,8.03148227524e-17
BR0031,8.89689512004e-17
BR0032,8.82042613818e-17
BR0033,5.50962205459e-17
BR0034,5.50962098837e-17
BR0035,5.50964200364e-17
BR0036,5.50963129779e-17
BR0037,1.47171987028e-16
BR0038,1.44244359311e-16
BR0039,8.10651968938e-17
BR0040,8.02844448187e-17
BR0041,9.01278293139e-17
BR0042,8.90473211184e-17
BR0043,5.50963169429e-17
BR0044,5.50961134915e-17
BR0045,5.50963169429e-17
BR0046,5.50961134914e-17
BR0047,1.77378678409e-16
BR0048,1.75937270946e-16
BR0049,7.99379475318e-17
BR0050,7.2580113552e-17
BR0051,9.60025332853e-17
BR0052,9.28879906151e-17
BR0053,5.50962098836e-17
BR0054,5.50962205459e-17
BR0055,5.50962098837e-17
BR0056,5.50962205459e-17
BR0057,2.06990771633e-16
BR0058,2.11195606326e-16
BR0059,7.23076246741e-17
BR0060,8.22613120649e-17
BR0061,1.06465939139e-16
BR0062,1.02482497015e-16
BR0063,5.50962098837e-17
BR0064,5.50962205459e-17
BR0065,5.50961134914e-17
BR0066,5.50963169429e-17
BR0067,2.39669374105e-16
BR0068,2.4244858386e-16
BR0069,5.94743338055e-17
BR0070,3.05851223382e-16
BR0071,1.17292309889e-16
BR0072,1.16218828185e-16
BR0073,5.50961409553e-17
BR0074,5.50960445623e-17
BR0075,5.50961134915e-17
BR0076,5.50963169429e-17
BR0077,1.79870190107e-16
BR0078,2.66517278722e-16
BR0079,1.6080147775e-16
BR0080,1.5444998295e-16
BR0081,5.50959545311e-17
BR0082,5.50959545311e-17
BR0083,5.5096312978e-17
BR0084,5.50964200365e-17
BR0085,2.04130330508e-16
BR0086,1.62362610829e-16
BR0087,2.21978279652e-16
BR0088,4.52188028021e-16
BR0089,9.91749298085e-17
BR0090,9.98860087236e-17
BR0091,1.15797789124e-16
BR0092,4.00342830776e-16
BR0093,1.32388421103e-16
BR0094,1.49392822258e-16
BR0095,5.50962152183e-17
BR0096,5.50962152183e-17
BR0097,1.11915847694e-16
BR0098,1.12169551399e-16
BR0099,9.30131034503e-17
BR0100,9.17298446161e-17
BR0101,8.3659749686e-17
BR0102,1.73492513234e-16
BR0103,1.11843907917e-16
BR0104,1.20824485399e-16
BR0105,5.50960914753e-17
BR0106,5.50959485708e-17
BR0107,1.22384190632e-16
BR0108,1.24862753461e-16
BR0109,8.42423137005e-17
BR0110,8.68144732886e-17
BR0111,8.03280802638e-17
BR0112,8.39407932658e-17
BR0113,1.15845615216e-16
BR0114,1.30115453557e-16
BR0115,5.50963169429e-17
BR0116,5.50961134915e-17
BR0117,5.5096123451e-17
BR0118,5.50961759936e-17
BR0119,1.4788302073e-16
BR0120,1.42407542967e-16
BR0121,8.21850772109e-17
BR0122,8.48521245496e-17
BR0123,8.03308532722e-17
BR0124,8.09569157386e-17
BR0125,1.34683717023e-16
