Member_size (mm),Unit_price (yuan/ton),W
HSS406.4X406.4X15.9,2000,189
HSS406.4X406.4X12.7,2000,153
HSS355.6X355.6X15.9,2000,164
HSS355.6X355.6X12.7,2000,133
HSS304.8X304.8X15.9,2000,139
HSS304.8X304.8X12.7,2000,113
HSS304.8X304.8X9.5,2000,86.3
HSS254X254X15.9,1800,113
HSS254X254X12.7,1800,92.7
HSS254X254X9.5,1800,71.2
HSS254X254X7.9,1800,60
HSS228.6X228.6X15.9,1600,101
HSS228.6X228.6X12.7,1600,82.6
HSS228.6X228.6X9.5,1600,63.6
HSS228.6X228.6X7.9,1600,53.6
HSS203.2X203.2X15.9,1600,88
HSS203.2X203.2X12.7,1600,72.5
HSS203.2X203.2X9.5,1600,56
HSS203.2X203.2X7.9,1600,47.3
HSS203.2X203.2X6.4,1600,38.4
HSS177.8X177.8X15.9,1600,75.3
HSS177.8X177.8X12.7,1600,62.4
HSS177.8X177.8X9.5,1600,48.4
HSS177.8X177.8X7.9,1600,41
HSS177.8X177.8X6.4,1600,33.3
HSS152.4X152.4X15.9,1600,62.6
HSS152.4X152.4X12.7,1600,52.2
HSS152.4X152.4X9.5,1600,40.8
HSS152.4X152.4X7.9,1600,34.6
HSS152.4X152.4X6.4,1600,28.3
HSS152.4X152.4X4.8,1600,21.6
HSS139.7X139.7X9.5,1600,37
HSS139.7X139.7X7.9,1600,31.5
HSS139.7X139.7X6.4,1600,25.7
HSS139.7X139.7X4.8,1600,19.7
HSS127X127X12.7,1600,42.1
HSS127X127X9.5,1600,33.2
HSS127X127X7.9,1600,28.3
HSS127X127X6.4,1600,23.2
HSS127X127X4.8,1600,17.8
HSS114.3X114.3X12.7,1600,37.1
HSS114.3X114.3X9.5,1600,29.4
HSS114.3X114.3X7.9,1600,25.2
HSS114.3X114.3X6.4,1600,20.7
HSS114.3X114.3X4.8,1600,15.9
HSS101.6X101.6X12.7,1600,32
HSS101.6X101.6X9.5,1600,25.6
HSS101.6X101.6X7.9,1600,22
HSS101.6X101.6X6.4,1600,18.1
HSS101.6X101.6X4.8,1600,14
HSS101.6X101.6X3.2,1600,9.59
HSS88.9X88.9X9.5,1500,21.8
HSS88.9X88.9X7.9,1500,18.8
HSS88.9X88.9X6.4,1500,15.6
HSS88.9X88.9X4.8,1500,12.1
HSS88.9X88.9X3.2,1500,8.33
HSS76.2X76.2X9.5,1500,18
HSS76.2X76.2X7.9,1500,15.7
HSS76.2X76.2X6.4,1500,13.1
HSS76.2X76.2X4.8,1500,10.2
HSS76.2X76.2X3.2,1500,7.06
HSS63.5X63.5X7.9,1500,12.5
HSS63.5X63.5X6.4,1500,10.5
HSS63.5X63.5X4.8,1500,8.3
HSS63.5X63.5X3.2,1500,5.8
HSS57.2X57.2X6.4,1500,9.26
HSS57.2X57.2X4.8,1500,7.35
HSS57.2X57.2X3.2,1500,5.16
HSS50.8X50.8X6.4,1500,8
HSS50.8X50.8X4.8,1500,6.4
HSS50.8X50.8X3.2,1500,4.53
