member_ID,start_node,end_node,size,PI,V2I,V3I,TI,PJ,V2J,V3J,TJ,M2I,M3I,M2J,M3J,add_back?
CO0001,P001115,P011115,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0001,P001115,P001116,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0001,P001115,X00111502,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0002,P011116,X00111502,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0002,P001116,P011116,HSS152.4X152.4X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0002,P001116,P001117,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0003,P001116,X00111606,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0004,P011117,X00111606,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0005,P001116,X00111502,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0006,P011115,X00111502,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0007,P001116,X00111610,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0008,P001217,X00111610,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0003,P001117,P011117,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0003,P001117,P001217,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0004,P001117,P001118,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0009,P001117,X00111715,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0010,P011217,X00111715,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0011,P001117,X00111717,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0012,P011118,X00111717,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0013,P001117,X00111606,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0014,P011116,X00111606,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0015,P001117,X00111721,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0016,P001218,X00111721,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0004,P001118,P011118,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0005,P001118,P001218,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0006,P001118,P001119,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0017,P001118,X00111826,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0018,P011218,X00111826,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0019,P001118,X00111828,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0020,P011119,X00111828,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0021,P001118,X00111717,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0022,P011117,X00111717,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0023,P001118,X00111832,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0024,P001219,X00111832,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0025,P001118,X00111721,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0026,P001217,X00111721,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0005,P001119,P011119,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0007,P001119,P001219,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0008,P001119,P001120,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0027,P001119,X00111939,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0028,P011219,X00111939,HSS76.2X3.2,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0029,P001119,X00111941,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0030,P011120,X00111941,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0031,P001119,X00111828,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0032,P011118,X00111828,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0033,P001119,X00111945,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0034,P001220,X00111945,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0035,P001119,X00111832,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0036,P001218,X00111832,0,True,True,True,True,True,True,True,True,False,False,True,True,False
CO0006,P001120,P011120,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,False
BE0009,P001120,P001220,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BE0010,P001120,P001121,0,True,True,True,True,True,True,True,True,False,False,False,False,False
BR0037,P001120,X00112052,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0038,P011220,X00112052,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0039,P001120,X00112054,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0040,P011121,X00112054,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0041,P001120,X00111941,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0042,P011119,X00111941,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0043,P001120,X00112058,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0044,P001221,X00112058,0,True,True,True,True,True,True,True,True,False,False,True,True,False
BR0045,P001120,X00111945,0,True,True,True,True,True,True,True,True,False,False,True,True,False
