member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
CO0001,P001115,P011115,0.3 Wind X + Wind -Y,-19539.2445163268,924115.237737857,6242783.30620015,0.317705602785945
BR0001,P001115,X00111502,0.3 Wind X + Wind -Y,-15831.8103624288,4637805.53401048,17282.0257183425,1.08200081048262
BR0002,P011116,X00111502,0.3 Wind X + Wind -Y,-15604.9416322145,-4146919.37793337,20481.9374499847,0.891459738053066
CO0002,P001116,P011116,0.3 Wind -X + Wind Y,-14071.9385085056,-1361487.60305081,6161902.4018139,0.327179184035204
BR0003,P001116,X00111606,0.3 Wind -X + Wind Y,-1823.30345394535,-497817.915195917,14447.0053338528,0.106572158276358
BR0004,P011117,X00111606,0.3 Wind -X + Wind Y,-1614.20858435817,-369742.60074229,17709.693325287,0.0801431160040939
BR0005,P001116,X00111502,0.3 Wind X + Wind -Y,-1629.20440818561,4651201.93759633,14708.4966786203,0.890584263483082
BR0006,P011115,X00111502,0.3 Wind X + Wind -Y,-1409.59488312847,-4133700.68505285,17868.9283697163,0.846768137820756
CO0003,P001117,P011117,Wind -X + 0.3 Wind -Y,-16368.4582442914,-2680777.13401021,-9400653.34777542,0.519598068717798
BR0009,P001117,X00111715,0.3 Wind -X + Wind Y,-24459.1587619131,-163935.422286894,18032.3576754455,0.105470313341518
BR0010,P011217,X00111715,0.3 Wind -X + Wind Y,-24244.8888195205,-130787.299759885,24241.4167460715,0.0984928587577339
BR0013,P001117,X00111606,0.3 Wind -X + Wind Y,-15950.905417522,-471461.031461392,16562.1606133143,0.142986155535922
BR0014,P011116,X00111606,0.3 Wind -X + Wind Y,-15735.8323596338,-343211.551241886,19824.4690488366,0.11651565291856
CO0004,P001118,P011118,Wind X + 0.3 Wind Y,-16063.5338113454,-5367688.06998391,1155135.07588169,0.295911162202963
BR0017,P001118,X00111826,Wind X + 0.3 Wind Y,-12315.6819916772,-692667.681986272,-19440.8157938142,0.177373890239267
BR0018,P011218,X00111826,Wind -X + 0.3 Wind -Y,9313.69234283961,-739160.589689395,-64391.5607063123,0.173143869125083
CO0005,P001119,P011119,Wind X + 0.3 Wind Y,-55059.0447617953,896039.81761525,-1792824.05355231,0.195898675216451
BR0027,P001119,X00111939,0.3 Wind X + Wind Y,-41774.8955165072,-76700.6694332377,26383.3900388627,0.260758337911378
BR0028,P011219,X00111939,0.3 Wind X + Wind Y,-41574.8250247171,-162215.919854091,37788.0981304701,0.276176317409886
CO0006,P001120,P011120,0.3 Wind -X + Wind Y,-45648.9030342502,-2328037.67721916,-3578362.91722699,0.225374657894829
BR0037,P001120,X00112052,0.3 Wind -X + Wind Y,-32989.3252629358,1394348.5750417,26923.6078863216,0.94095096155263
BR0038,P011220,X00112052,0.3 Wind X + Wind -Y,21811.8218033369,-1816986.85611822,-112432.806354351,0.422709576550994
CO0007,P001121,P011121,0.3 Wind -X + Wind Y,-26603.3167340278,32709933.1129753,-16166631.9337224,1.18223105500599
BR0047,P001121,X00112165,0.3 Wind -X + Wind Y,-20570.1665721391,107.98226135132,73536.0657365113,87.0689851152789
BR0048,P011221,X00112165,0.3 Wind -X + Wind Y,-20465.9453143599,-96.3978720682608,73862.7158940588,87.0678156721032
CO0008,P001122,P011122,0.3 Wind -X + Wind Y,-34905.8629530666,-8386030.48391361,-15811699.7721372,1.03188920680682
BR0057,P001122,X00112278,0.3 Wind X + Wind -Y,22213.072733221,-5473446.58151931,-21256.2215354026,4.10484505848678
BR0058,P011222,X00112278,0.3 Wind -X + Wind Y,-23431.7124349286,3942334.43535522,-57330.5672612423,0.816331430384851
BR0061,P001122,X00112167,0.3 Wind X + Wind -Y,-17201.102204189,-82.1793193755844,73613.4272965081,20.4623201323569
BR0062,P011121,X00112167,0.3 Wind X + Wind -Y,-17096.8809464086,88.5557451718136,73771.4536195881,20.4617352602156
CO0009,P001123,P011123,0.3 Wind -X + Wind Y,-31903.6431063659,-1272452.01035598,3390642.40053396,0.225461150295868
BR0067,P001123,X00112391,0.3 Wind -X + Wind Y,-33221.7314974524,-268074.899594386,-13742.4199353307,0.152693117743988
BR0068,P011223,X00112391,0.3 Wind -X + Wind Y,-32987.4159035597,-230637.226407282,-36957.5626947976,0.145205063479485
BR0070,P011124,X00112393,Wind -X + 0.3 Wind Y,-4.09998897165177E+25,1.32042822041193E+30,8.62033234791783E+29,4.67034039324269E+22
CO0010,P001124,P011124,Wind -X + 0.3 Wind Y,1.36118815283234E+20,-1.28438818449285E+30,-1.4264575915965E+30,4.21767257800745E+22
CO0011,P001217,P011217,0.3 Wind X + Wind -Y,-33862.3050653773,-4770605.49396039,15708251.6009117,0.887193508657601
BR0085,P001217,X001217113,1.2D+1.6L,-11787.9071262873,-487340.968612732,-24172.8705903945,0.1339643174454
BR0086,P011218,X001217113,1.2D+1.6L,-11504.7315272871,-479683.771728815,-51684.9291577446,0.217169059771804
BR0087,P001217,X00111715,Wind -X + 0.3 Wind -Y,-18293.1113785602,-222481.452898267,-14933.4267136301,0.0992635627527467
BR0088,P011117,X00111715,Wind -X + 0.3 Wind -Y,-18092.5544250812,-281581.19969345,18775.8703041821,0.110923350799866
CO0012,P001218,P011218,0.3 Wind X + Wind -Y,-55907.3618997738,1275704.56484983,-3807763.73342914,0.266699615074665
BR0089,P001218,X001218119,1.2D+1.6L,-10797.7735367836,-851289.87154588,16633.5934333892,0.205113201192339
BR0090,P011219,X001218119,1.2D+1.6L,-10514.7644448038,-843407.705291495,-41155.7167284584,0.203229457860211
BR0091,P001218,X001217113,Wind X + 0.3 Wind Y,36552.9070828371,-450545.862223071,-32003.4594440703,0.179013360884793
BR0092,P011217,X001217113,Wind X + 0.3 Wind Y,36864.3838360728,-461706.140924082,-109981.774028283,0.18418306600591
BR0093,P001218,X00111826,Wind X + 0.3 Wind -Y,-12260.6278918571,-794311.436008051,19285.3495263529,0.197874474859947
BR0094,P011118,X00111826,Wind -X + 0.3 Wind Y,13828.5944128249,-829594.211048686,-62508.4740615014,0.202225341773851
CO0013,P001219,P011219,0.3 Wind X + Wind -Y,-67417.6333239525,1256751.63084057,-3169900.38462967,0.25066400880691
BR0099,P001219,X001219132,1.2D+1.6L,-4948.62540017293,-698595.218271787,17891.3685596779,0.156679848784372
BR0100,P011220,X001219132,1.2D+1.6L,-4655.87337189137,-718511.608711937,-39217.8309154976,0.16045105585385
BR0101,P001219,X001218119,1.2D+1.6L,-6947.71270669044,-833664.12874257,18035.9812188289,0.190123806236054
BR0102,P011218,X001218119,1.2D+1.6L,-6660.73706709898,-825781.962484937,-38350.9411576858,0.256326377746018
BR0103,P001219,X00111939,0.3 Wind X + Wind -Y,-13314.5056975024,-450973.227261327,-13824.0334028419,0.131050410212941
BR0104,P011119,X00111939,Wind X + 0.3 Wind -Y,-8966.86935075525,-598156.745153626,-17979.9225421648,0.14850950361141
CO0014,P001220,P011220,0.3 Wind X + Wind -Y,-54243.5890668996,1082269.63408823,-3504690.1012677,0.244343566182813
BR0107,P001220,X001220143,1.2D+1.6L,-945.837571936621,-410193.487707768,17763.7701772565,0.0860592911183559
BR0108,P011320,X001220143,1.2D+1.6L,-651.883595098004,-396681.9293233,-27331.9007437263,0.0829784355575093
BR0109,P001220,X001220145,0.3 Wind X + Wind Y,-11425.7267501968,-2139136.67777245,13498.8661963976,0.469532724934802
BR0110,P011221,X001220145,0.3 Wind -X + Wind Y,1919.03762375292,-2201031.25027951,-16614.1453922732,1.48034411371585
BR0111,P001220,X001219132,Wind -X + 0.3 Wind -Y,-31774.3983689624,-394166.502431562,13601.220521493,0.174065521592807
BR0112,P011219,X001219132,Wind -X + 0.3 Wind -Y,-31556.132409364,-466975.683135035,-38297.3226931111,0.188864774690667
BR0113,P001220,X00112052,0.3 Wind X + Wind -Y,5313.1776047061,-1697249.9281374,-19279.8332544049,0.35862116656572
BR0114,P011120,X00112052,0.3 Wind X + Wind -Y,5640.31671714584,-1726900.98792367,-76318.3122101519,0.950030091646517
CO0015,P001221,P011221,0.3 Wind -X + Wind -Y,-15112.8216788681,-15343601.1252321,3035568.60061525,0.464120475021426
BR0119,P001221,X001221158,0.3 Wind -X + Wind Y,-21594.4919601307,-2426385.266487,-13382.5301244604,1.44722492640013
BR0120,P011321,X001221158,0.3 Wind -X + Wind Y,-21362.2008069265,-2422153.76536206,-20554.9484541968,0.556940353012892
BR0123,P001221,X001220145,0.3 Wind -X + Wind Y,-10301.2076832512,-2361049.63686516,12580.7625680408,1.41607708247761
BR0124,P011220,X001220145,0.3 Wind -X + Wind -Y,-15362.1632218474,1853768.56864979,-62055.8658354816,0.525339345655639
CO0016,P001222,P011222,0.3 Wind -X + Wind Y,-21723.0700082019,-1038832.11863455,3149151.18662347,0.195588220456969
BR0131,P001222,X001222173,0.3 Wind -X + Wind Y,-23770.4562730369,-252979.606146621,-13053.7141543831,0.12165144844785
BR0132,P011322,X001222173,1.2D+1.6L,-8799.22365439733,-435272.72641558,-47164.9231009533,0.194652954036148
BR0133,P001222,X001222175,Wind X + 0.3 Wind -Y,-15221.437478464,-210679.491706146,-19147.3720201008,0.0878453109142582
BR0134,P011223,X001222175,Wind X + 0.3 Wind -Y,-14966.4860819547,-217886.81338683,-41873.5042951304,0.0895042172707582
BR0137,P001222,X00112278,0.3 Wind X + Wind -Y,-29947.3685409,-6283135.98048497,18301.5558325159,0.99905140562996
BR0138,P011122,X00112278,0.3 Wind X + Wind -Y,-29684.9997541967,-4787496.88319897,22986.5194125287,3.3514461002592
CO0017,P001223,P011223,0.3 Wind -X + Wind Y,-45814.7328227257,-888034.022794686,3661996.7847903,0.234480274871723
BR0143,P001223,X001223188,0.3 Wind X + Wind Y,-42296.3356957573,-1275484.09904616,-13511.1921269559,0.480765376991047
BR0144,P011323,X001223188,1.2D+1.6L,-16505.9040997212,-1978510.46544501,-68255.159781758,1.276366942999
BR0145,P001223,X001223190,Wind -X + 0.3 Wind Y,18129.974908566,-339355.983068479,13861.1411286397,0.112321829663336
BR0146,P011224,X001223190,Wind -X + 0.3 Wind -Y,16020.9510557516,-394319.602087935,-41544.5643236111,0.118680862921269
