Type	AISC_Manual_Label
W	W1100X499
W	W1100X433
W	W1100X390
W	W1100X343
W	W1000X883
W	W1000X748
W	W1000X642
W	W1000X591
W	W1000X554
W	W1000X539
W	W1000X483
W	W1000X443
W	W1000X412
W	W1000X371
W	W1000X321
W	W1000X296
W	W1000X584
W	W1000X494
W	W1000X486
W	W1000X438
W	W1000X415
W	W1000X393
W	W1000X350
W	W1000X314
W	W1000X272
W	W1000X249
W	W1000X222
W	W920X970
W	W920X787
W	W920X725
W	W920X656
W	W920X588
W	W920X537
W	W920X491
W	W920X449
W	W920X420
W	W920X390
W	W920X368
W	W920X344
W	W920X381
W	W920X345
W	W920X313
W	W920X289
W	W920X271
W	W920X253
W	W920X238
W	W920X223
W	W920X201
W	W840X576
W	W840X527
W	W840X473
W	W840X433
W	W840X392
W	W840X359
W	W840X329
W	W840X299
W	W840X251
W	W840X226
W	W840X210
W	W840X193
W	W840X176
W	W760X582
W	W760X531
W	W760X484
W	W760X434
W	W760X389
W	W760X350
W	W760X314
W	W760X284
W	W760X257
W	W760X220
W	W760X196
W	W760X185
W	W760X173
W	W760X161
W	W760X147
W	W760X134
W	W690X802
W	W690X548
W	W690X500
W	W690X457
W	W690X419
W	W690X384
W	W690X350
W	W690X323
W	W690X289
W	W690X265
W	W690X240
W	W690X217
W	W690X192
W	W690X170
W	W690X152
W	W690X140
W	W690X125
W	W610X551
W	W610X498
W	W610X455
W	W610X415
W	W610X372
W	W610X341
W	W610X307
W	W610X285
W	W610X262
W	W610X241
W	W610X217
W	W610X195
W	W610X174
W	W610X155
W	W610X153
W	W610X140
W	W610X125
W	W610X113
W	W610X101
W	W610X92
W	W610X82
W	W530X300
W	W530X272
W	W530X248
W	W530X219
W	W530X196
W	W530X182
W	W530X165
W	W530X150
W	W530X138
W	W530X123
W	W530X109
W	W530X101
W	W530X92
W	W530X82
W	W530X72
W	W530X85
W	W530X74
W	W530X66
W	W460X464
W	W460X421
W	W460X384
W	W460X349
W	W460X315
W	W460X286
W	W460X260
W	W460X235
W	W460X213
W	W460X193
W	W460X177
W	W460X158
W	W460X144
W	W460X128
W	W460X113
W	W460X106
W	W460X97
W	W460X89
W	W460X82
W	W460X74
W	W460X68
W	W460X60
W	W460X52
W	W410X149
W	W410X132
W	W410X114
W	W410X100
W	W410X85
W	W410X75
W	W410X67
W	W410X60
W	W410X53
W	W410X46.1
W	W410X38.8
W	W360X1086
W	W360X990
W	W360X900
W	W360X818
W	W360X744
W	W360X677
W	W360X634
W	W360X592
W	W360X551
W	W360X509
W	W360X463
W	W360X421
W	W360X382
W	W360X347
W	W360X314
W	W360X287
W	W360X262
W	W360X237
W	W360X216
W	W360X196
W	W360X179
W	W360X162
W	W360X147
W	W360X134
W	W360X122
W	W360X110
W	W360X101
W	W360X91
W	W360X79
W	W360X72
W	W360X64
W	W360X57.8
W	W360X51
W	W360X44
W	W360X39
W	W360X32.9
W	W310X500
W	W310X454
W	W310X415
W	W310X375
W	W310X342
W	W310X313
W	W310X283
W	W310X253
W	W310X226
W	W310X202
W	W310X179
W	W310X158
W	W310X143
W	W310X129
W	W310X117
W	W310X107
W	W310X97
W	W310X86
W	W310X79
W	W310X74
W	W310X67
W	W310X60
W	W310X52
W	W310X44.5
W	W310X38.7
W	W310X32.7
W	W310X28.3
W	W310X23.8
W	W310X21
W	W250X167
W	W250X149
W	W250X131
W	W250X115
W	W250X101
W	W250X89
W	W250X80
W	W250X73
W	W250X67
W	W250X58
W	W250X49.1
W	W250X44.8
W	W250X38.5
W	W250X32.7
W	W250X28.4
W	W250X25.3
W	W250X22.3
W	W250X17.9
W	W200X100
W	W200X86
W	W200X71
W	W200X59
W	W200X52
W	W200X46.1
W	W200X41.7
W	W200X35.9
W	W200X31.3
W	W200X26.6
W	W200X22.5
W	W200X19.3
W	W200X15
W	W150X37.1
W	W150X29.8
W	W150X22.5
W	W150X24
W	W150X18
W	W150X13.5
W	W150X13
W	W130X28.1
W	W130X23.8
W	W100X19.3
