Member_A,Member_B
0,BR0006,CO0026
1,BR0014,CO0027
2,BR0088,CO0028
3,BR0094,CO0029
4,BR0104,CO0030
5,BR0114,CO0031
6,BR0126,CO0032
7,BR0138,CO0033
8,BR0150,CO0034
9,BR0102,CO0035
10,BR0172,CO0036
11,BR0178,CO0037
12,BR0184,CO0038
13,BR0190,CO0039
14,BR0196,CO0040
15,BE0053,BE0066
16,BE0068,BE0069
17,BR0188,CO0041
18,BR0194,CO0042
19,BR0198,CO0043
20,BE0073,BE0074
21,BE0074,BE0075
22,BE0075,BE0077
23,BR0294,CO0044
24,BR0302,CO0045
25,BR0314,CO0046
26,BE0083,BE0085
27,BE0087,BE0088
28,BE0088,BE0089
29,BE0082,BE0090
30,BE0084,BE0092
31,BE0086,BE0094
32,BE0095,BE0096
33,BE0097,BE0098
