checked?,cross_section,member_ID
0.0,W150X13,BE0097
0.0,W150X13,BE0098
0.0,W150X13,BE0085
0.0,W150X13,BE0089
0.0,W150X13,BE0066
0.0,W150X13,BE0067
0.0,W150X13,BE0088
0.0,W150X13,BE0087
0.0,W150X13,BE0075
0.0,W150X13,BE0030
0.0,W150X13,BE0051
0.0,W150X13,BE0073
0.0,HSS76.2X3.2,BR0217
0.0,HSS76.2X3.2,BR0218
0.0,W150X13,BE0024
0.0,W150X13,BE0026
0.0,W150X13,BE0022
0.0,W150X13,BE0028
0.0,W150X13,BE0049
0.0,W150X13,BE0005
0.0,HSS76.2X3.2,BR0237
0.0,W150X13,BE0007
0.0,W150X13,BE0083
0.0,W150X13,BE0009
0.0,W150X13,BE0011
0.0,W150X13,BE0013
0.0,W150X13,BE0015
0.0,HSS76.2X3.2,BR0238
0.0,W150X13,BE0053
0.0,W150X13,BE0068
