Cost,LocalSearch?
297056.48164,False
287499.524814,False
275565.756759,False
270548.244293,False
269663.43686,False
257851.449428,False
255272.241996,False
242752.363865,False
234298.690847,False
225607.997829,False
217027.836906,False
210084.25319,False
199751.469474,False
194239.376527,False
182024.787025,False
178737.761912,False
172606.3368,False
168311.022385,False
160562.397273,False
160496.97216,False
158694.747048,False
150736.921935,False
148930.296823,False
141996.650814,False
139829.266547,False
134955.779193,False
132309.843453,False
132277.837659,False
128742.963824,False
121686.466461,False
121162.872188,False
118285.233047,False
114466.571802,False
