member_ID,cost
BE0039,538.6
BE0044,538.6
BE0073,526.0
BR0133,1424.08930179
BR0134,508.089301792
BR0135,1424.08930179
BR0136,508.089301792
BR0201,508.089301792
BR0202,508.089301792
BR0203,508.089301792
BR0204,508.089301792
BR0206,508.089301792
BR0207,508.089301792
BR0208,508.089301792
BR0211,508.089301792
BR0212,508.089301792
BR0213,508.089301792
BR0214,508.089301792
BR0221,508.089301792
BR0222,508.089301792
BR0223,508.089301792
BR0224,508.089301792
BR0231,508.089301792
BR0232,508.089301792
BR0233,508.089301792
BR0234,508.089301792
BR0241,508.089301792
BR0242,510.88944472
BR0243,508.089301792
BR0244,508.089301792
BR0251,508.089301792
BR0252,508.089301792
BR0253,508.089301792
BR0254,508.089301792
BR0260,508.089301792
BR0261,508.089301792
BR0262,508.089301792
BR0263,508.089301792
BR0264,508.089301792
BR0268,508.089301792
BR0269,508.089301792
BR0270,508.089301792
BR0271,508.089301792
BR0272,508.089301792
BR0275,508.089301792
BR0277,508.089301792
BR0278,508.089301792
BR0283,508.089301792
BR0284,508.089301792
BR0287,508.089301792
BR0288,508.089301792
BR0289,508.089301792
BR0290,508.089301792
BR0291,508.089301792
BR0292,508.089301792
BR0295,508.089301792
BR0299,508.089301792
BR0300,508.089301792
BR0303,508.089301792
BR0304,508.089301792
BR0305,508.089301792
BR0306,508.089301792
BR0307,508.089301792
BR0308,508.089301792
BR0311,508.089301792
BR0312,508.089301792
BR0314,508.089301792
BR0315,508.089301792
BR0316,508.089301792
BR0317,508.089301792
BR0319,508.089301792
BR0320,508.089301792
BR0321,508.089301792
BR0322,508.089301792
BR0327,508.089301792
BR0328,508.089301792
BR0329,508.089301792
BR0330,508.089301792
BR0331,508.089301792
BR0332,508.089301792
BR0333,508.089301792
BR0334,508.089301792
BR0337,508.089301792
BR0339,508.089301792
BR0340,508.089301792
BR0343,508.089301792
BR0344,508.089301792
BR0347,508.089301792
BR0348,508.089301792
BR0357,508.089301792
BR0358,508.089301792
BR0359,508.089301792
BR0360,508.089301792
BR0369,508.089301792
BR0370,508.089301792
BR0374,508.089301792
BR0376,508.089301792
BR0377,508.089301792
BR0378,508.089301792
BR0379,508.089301792
BR0380,508.089301792
BR0381,508.089301792
BR0382,508.089301792
BR0385,508.089301792
BR0386,508.640845096
BR0387,510.88944472
BR0388,508.089301792
BR0389,508.089301792
BR0390,508.089301792
BR0391,508.089301792
BR0392,508.089301792
BR0393,508.089301792
BR0394,508.089301792
BR0397,513.703729784
BR0398,524.60731664
BR0399,510.88944472
BR0400,508.089301792
BR0401,512.30365832
BR0402,508.089301792
BR0407,508.089301792
BR0408,508.089301792
BR0410,508.089301792
BR0411,508.089301792
BR0412,510.88944472
BR0413,508.089301792
BR0414,516.40487776
BR0415,512.30365832
BR0416,508.089301792
BR0417,508.089301792
BR0418,510.88944472
CO0001,3801.4
CO0002,3781.8
CO0010,3781.8
CO0011,3785.6
CO0012,3781.8
CO0013,3857.2
CO0015,3857.2
CO0016,1435.18
CO0017,3826.8
CO0020,3826.8
CO0022,3778.0
CO0024,3844.6
CO0026,551.4
CO0027,531.8
CO0028,519.18
CO0031,535.6
CO0032,531.8
CO0033,528.0
CO0034,528.0
CO0035,531.8
CO0036,607.2
CO0037,526.8
CO0038,607.2
CO0039,519.18
CO0040,576.8
CO0041,528.0
CO0042,519.18
CO0043,594.6
CO0045,535.6
CO0046,531.8
