member_ID,cross_section
BE0039,W100X19.3
BE0044,W100X19.3
BE0073,W150X13
BR0133,HSS76.2X3.2
BR0134,HSS76.2X3.2
BR0135,HSS76.2X3.2
BR0136,HSS76.2X3.2
BR0201,HSS76.2X3.2
BR0202,HSS76.2X3.2
BR0203,HSS76.2X3.2
BR0204,HSS76.2X3.2
BR0206,HSS76.2X3.2
BR0207,HSS76.2X3.2
BR0208,HSS76.2X3.2
BR0211,HSS76.2X3.2
BR0212,HSS76.2X3.2
BR0213,HSS76.2X3.2
BR0214,HSS76.2X3.2
BR0221,HSS76.2X3.2
BR0222,HSS76.2X3.2
BR0223,HSS76.2X3.2
BR0224,HSS76.2X3.2
BR0231,HSS76.2X3.2
BR0232,HSS76.2X3.2
BR0233,HSS76.2X3.2
BR0234,HSS76.2X3.2
BR0241,HSS76.2X3.2
BR0242,HSS101.6X3.2
BR0243,HSS76.2X3.2
BR0244,HSS76.2X3.2
BR0251,HSS76.2X3.2
BR0252,HSS76.2X3.2
BR0253,HSS76.2X3.2
BR0254,HSS76.2X3.2
BR0260,HSS76.2X3.2
BR0261,HSS76.2X3.2
BR0262,HSS76.2X3.2
BR0263,HSS76.2X3.2
BR0264,HSS76.2X3.2
BR0268,HSS76.2X3.2
BR0269,HSS76.2X3.2
BR0270,HSS76.2X3.2
BR0271,HSS76.2X3.2
BR0272,HSS76.2X3.2
BR0275,HSS76.2X3.2
BR0277,HSS76.2X3.2
BR0278,HSS76.2X3.2
BR0283,HSS76.2X3.2
BR0284,HSS76.2X3.2
BR0287,HSS76.2X3.2
BR0288,HSS76.2X3.2
BR0289,HSS76.2X3.2
BR0290,HSS76.2X3.2
BR0291,HSS76.2X3.2
BR0292,HSS76.2X3.2
BR0295,HSS76.2X3.2
BR0299,HSS76.2X3.2
BR0300,HSS76.2X3.2
BR0303,HSS76.2X3.2
BR0304,HSS76.2X3.2
BR0305,HSS76.2X3.2
BR0306,HSS76.2X3.2
BR0307,HSS76.2X3.2
BR0308,HSS76.2X3.2
BR0311,HSS76.2X3.2
BR0312,HSS76.2X3.2
BR0314,HSS76.2X3.2
BR0315,HSS76.2X3.2
BR0316,HSS76.2X3.2
BR0317,HSS76.2X3.2
BR0319,HSS76.2X3.2
BR0320,HSS76.2X3.2
BR0321,HSS76.2X3.2
BR0322,HSS76.2X3.2
BR0327,HSS76.2X3.2
BR0328,HSS76.2X3.2
BR0329,HSS76.2X3.2
BR0330,HSS76.2X3.2
BR0331,HSS76.2X3.2
BR0332,HSS76.2X3.2
BR0333,HSS76.2X3.2
BR0334,HSS76.2X3.2
BR0337,HSS76.2X3.2
BR0339,HSS76.2X3.2
BR0340,HSS76.2X3.2
BR0343,HSS76.2X3.2
BR0344,HSS76.2X3.2
BR0347,HSS76.2X3.2
BR0348,HSS76.2X3.2
BR0357,HSS76.2X3.2
BR0358,HSS76.2X3.2
BR0359,HSS76.2X3.2
BR0360,HSS76.2X3.2
BR0369,HSS76.2X3.2
BR0370,HSS76.2X3.2
BR0374,HSS76.2X3.2
BR0376,HSS76.2X3.2
BR0377,HSS76.2X3.2
BR0378,HSS76.2X3.2
BR0379,HSS76.2X3.2
BR0380,HSS76.2X3.2
BR0381,HSS76.2X3.2
BR0382,HSS76.2X3.2
BR0385,HSS76.2X3.2
BR0386,HSS76.2X3.4
BR0387,HSS101.6X3.2
BR0388,HSS76.2X3.2
BR0389,HSS76.2X3.2
BR0390,HSS76.2X3.2
BR0391,HSS76.2X3.2
BR0392,HSS76.2X3.2
BR0393,HSS76.2X3.2
BR0394,HSS76.2X3.2
BR0397,HSS127X3.2
BR0398,HSS152.4X4.8
BR0399,HSS101.6X3.2
BR0400,HSS76.2X3.2
BR0401,HSS114.3X3.2
BR0402,HSS76.2X3.2
BR0407,HSS76.2X3.2
BR0408,HSS76.2X3.2
BR0410,HSS76.2X3.2
BR0411,HSS76.2X3.2
BR0412,HSS101.6X3.2
BR0413,HSS76.2X3.2
BR0414,HSS141.3X3.4
BR0415,HSS114.3X3.2
BR0416,HSS76.2X3.2
BR0417,HSS76.2X3.2
BR0418,HSS101.6X3.2
CO0001,HSS139.7X139.7X6.4
CO0002,HSS114.3X114.3X4.8
CO0010,HSS114.3X114.3X4.8
CO0011,HSS127X127X4.8
CO0012,HSS114.3X114.3X4.8
CO0013,HSS228.6X228.6X7.9
CO0015,HSS228.6X228.6X7.9
CO0016,HSS101.6X101.6X3.2
CO0017,HSS203.2X203.2X6.4
CO0020,HSS203.2X203.2X6.4
CO0022,HSS101.6X101.6X4.8
CO0024,HSS203.2X203.2X7.9
CO0026,HSS139.7X139.7X6.4
CO0027,HSS114.3X114.3X4.8
CO0028,HSS101.6X101.6X3.2
CO0031,HSS127X127X4.8
CO0032,HSS114.3X114.3X4.8
CO0033,HSS101.6X101.6X4.8
CO0034,HSS101.6X101.6X4.8
CO0035,HSS114.3X114.3X4.8
CO0036,HSS228.6X228.6X7.9
CO0037,HSS139.7X139.7X3.2
CO0038,HSS228.6X228.6X7.9
CO0039,HSS101.6X101.6X3.2
CO0040,HSS203.2X203.2X6.4
CO0041,HSS101.6X101.6X4.8
CO0042,HSS101.6X101.6X3.2
CO0043,HSS203.2X203.2X7.9
CO0045,HSS127X127X4.8
CO0046,HSS114.3X114.3X4.8
