member_ID,cross_section
BE0041,W150X13
BE0054,W100X19.3
BE0056,W100X19.3
BE0057,W100X19.3
BE0064,W150X13
BE0069,W100X19.3
BE0070,W100X19.3
BE0071,W100X19.3
BE0073,W150X13
BR0001,HSS101.6X3.2
BR0002,HSS101.6X3.2
BR0005,HSS101.6X3.2
BR0006,HSS101.6X3.2
BR0007,HSS76.2X3.2
BR0008,HSS76.2X3.2
BR0010,HSS76.2X3.2
BR0088,HSS76.2X3.2
BR0108,HSS76.2X3.2
BR0109,HSS76.2X3.2
BR0110,HSS76.2X3.2
BR0111,HSS76.2X3.2
BR0112,HSS76.2X3.2
BR0113,HSS76.2X3.2
BR0114,HSS76.2X3.2
BR0131,HSS76.2X3.2
BR0132,HSS76.2X3.2
BR0133,HSS76.2X3.2
BR0134,HSS76.2X3.2
BR0135,HSS76.2X3.2
BR0136,HSS76.2X3.2
BR0137,HSS76.2X3.2
BR0138,HSS76.2X3.2
BR0179,HSS76.2X3.2
BR0180,HSS76.2X3.2
BR0181,HSS76.2X3.2
BR0182,HSS76.2X3.2
BR0183,HSS88.9X3.2
BR0184,HSS88.9X3.2
BR0186,HSS88.9X3.2
BR0194,HSS101.6X3.2
BR0196,HSS101.6X3.2
BR0201,HSS76.2X3.2
BR0202,HSS76.2X3.2
BR0203,HSS76.2X3.2
BR0204,HSS76.2X3.2
BR0205,HSS76.2X3.2
BR0206,HSS76.2X3.2
BR0207,HSS88.9X3.2
BR0208,HSS76.2X3.2
BR0211,HSS76.2X3.2
BR0212,HSS76.2X3.2
BR0213,HSS114.3X3.2
BR0214,HSS141.3X3.4
BR0215,HSS76.2X3.2
BR0221,HSS76.2X3.2
BR0222,HSS88.9X3.2
BR0223,HSS76.2X3.2
BR0224,HSS76.2X3.2
BR0231,HSS76.2X3.2
BR0232,HSS76.2X3.2
BR0233,HSS76.2X3.2
BR0234,HSS76.2X3.2
BR0241,HSS76.2X3.2
BR0242,HSS76.2X3.2
BR0243,HSS76.2X3.2
BR0244,HSS76.2X3.2
BR0245,HSS76.2X3.2
BR0246,HSS76.2X3.2
BR0249,HSS76.2X3.2
BR0250,HSS76.2X3.2
BR0251,HSS76.2X3.2
BR0252,HSS76.2X3.2
BR0253,HSS76.2X3.2
BR0254,HSS76.2X3.2
BR0258,HSS76.2X3.2
BR0261,HSS76.2X3.2
BR0262,HSS76.2X3.2
BR0263,HSS76.2X3.2
BR0264,HSS76.2X3.2
BR0269,HSS76.2X3.2
BR0270,HSS76.2X3.2
BR0271,HSS76.2X3.2
BR0272,HSS76.2X3.2
BR0275,HSS76.2X3.2
BR0277,HSS76.2X3.2
BR0278,HSS76.2X3.2
BR0283,HSS76.2X3.2
BR0284,HSS76.2X3.2
BR0286,HSS76.2X3.2
BR0287,HSS76.2X3.2
BR0288,HSS76.2X3.2
BR0289,HSS76.2X3.2
BR0290,HSS76.2X3.2
BR0291,HSS76.2X3.2
BR0292,HSS76.2X3.2
BR0295,HSS76.2X3.2
BR0296,HSS76.2X3.2
BR0301,HSS76.2X3.2
BR0302,HSS76.2X3.2
BR0303,HSS76.2X3.2
BR0304,HSS76.2X3.2
BR0305,HSS76.2X3.2
BR0306,HSS76.2X3.2
BR0307,HSS76.2X3.2
BR0308,HSS76.2X3.2
BR0309,HSS76.2X3.2
BR0310,HSS76.2X3.2
BR0311,HSS76.2X3.2
BR0312,HSS76.2X3.2
BR0313,HSS76.2X3.2
BR0314,HSS76.2X3.2
BR0315,HSS76.2X3.2
BR0316,HSS76.2X3.2
BR0317,HSS76.2X3.2
BR0318,HSS76.2X3.2
BR0322,HSS76.2X3.2
BR0323,HSS76.2X3.2
BR0324,HSS76.2X3.2
BR0327,HSS76.2X3.2
BR0328,HSS76.2X3.2
BR0329,HSS76.2X3.2
BR0330,HSS76.2X3.2
BR0331,HSS76.2X3.2
BR0332,HSS76.2X3.2
BR0333,HSS76.2X3.2
BR0334,HSS76.2X3.2
BR0337,HSS76.2X3.2
BR0339,HSS88.9X3.2
BR0340,HSS88.9X3.2
BR0343,HSS76.2X3.2
BR0344,HSS141.3X3.4
BR0353,HSS76.2X3.2
BR0354,HSS76.2X3.2
BR0357,HSS76.2X3.2
BR0358,HSS76.2X3.2
BR0359,HSS76.2X3.2
BR0360,HSS76.2X3.2
BR0363,HSS76.2X3.2
BR0364,HSS76.2X3.2
BR0369,HSS101.6X3.2
BR0370,HSS141.3X3.4
BR0373,HSS76.2X3.2
BR0374,HSS88.9X3.2
BR0375,HSS76.2X3.2
BR0376,HSS76.2X3.2
BR0377,HSS88.9X3.2
BR0378,HSS76.2X3.2
BR0379,HSS88.9X3.2
BR0380,HSS76.2X3.2
BR0382,HSS76.2X3.2
BR0384,HSS76.2X3.2
BR0385,HSS76.2X3.2
BR0386,HSS76.2X3.2
BR0387,HSS76.2X3.2
BR0388,HSS101.6X3.2
BR0391,HSS76.2X3.2
BR0392,HSS101.6X3.2
BR0393,HSS76.2X3.2
BR0394,HSS76.2X3.2
BR0397,HSS141.3X3.4
BR0398,HSS76.2X3.2
BR0399,HSS141.3X3.4
BR0400,HSS76.2X3.2
BR0401,HSS101.6X3.2
BR0402,HSS114.3X3.2
BR0406,HSS76.2X3.2
BR0407,HSS76.2X3.2
BR0408,HSS76.2X3.2
BR0411,HSS76.2X3.2
BR0412,HSS76.2X3.2
BR0413,HSS76.2X3.2
BR0414,HSS141.3X3.4
BR0415,HSS76.2X3.2
BR0416,HSS76.2X3.2
BR0417,HSS76.2X3.2
BR0418,HSS76.2X3.2
CO0001,HSS114.3X114.3X4.8
CO0002,HSS114.3X114.3X4.8
CO0006,HSS127X127X4.8
CO0007,HSS127X127X4.8
CO0008,HSS101.6X101.6X3.2
CO0010,HSS114.3X114.3X4.8
CO0011,HSS114.3X114.3X4.8
CO0014,HSS101.6X101.6X4.8
CO0016,HSS101.6X101.6X3.2
CO0022,HSS101.6X101.6X4.8
CO0024,HSS101.6X101.6X4.8
CO0026,HSS114.3X114.3X4.8
CO0027,HSS114.3X114.3X4.8
CO0028,HSS101.6X101.6X3.2
CO0031,HSS127X127X4.8
CO0032,HSS127X127X4.8
CO0033,HSS101.6X101.6X3.2
CO0034,HSS114.3X114.3X4.8
CO0035,HSS114.3X114.3X4.8
CO0036,HSS101.6X101.6X4.8
CO0037,HSS101.6X101.6X4.8
CO0038,HSS101.6X101.6X4.8
CO0039,HSS101.6X101.6X3.2
CO0040,HSS101.6X101.6X4.8
CO0041,HSS101.6X101.6X4.8
CO0042,HSS101.6X101.6X4.8
CO0043,HSS101.6X101.6X4.8
CO0044,HSS101.6X101.6X3.2
CO0045,HSS127X127X4.8
CO0046,HSS127X127X4.8
