BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,2.30901955294e-06,1.72778596645e-06,2.21352256073e-06,2.73729311041e-06,1.63266987107e-06,2.20840115186e-06,2.64672162673e-06,1.94510913686e-08,6.84056816214e-06,1.41137013544e-06,1.94510913686e-08,5.40212461909e-06,3.65162381769e-06,1.94510913686e-08,8.84335630033e-07,7.19902434732e-06,1.63198074094e-06,1.94510913686e-08,3.0378598202e-06,6.66733234693e-06,3.65113748181e-06,1.87709033905e-06,2.54313889111e-06,3.37040998184e-06,6.49549909297e-06,1.03822287853e-06,1.558818969e-06,1.56861195443e-06,1.04985713053e-06,1.80314779626e-06,4.41882153626e-06,2.04916635715e-06,3.59633932324e-06,2.19436795898e-06,4.43588046087e-06
,1.94510913686e-08,,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,6.54982972414e-06,5.79776673399e-06,6.24561364034e-06,7.30706397114e-06,5.56305112615e-06,6.23288402149e-06,6.86881959866e-06,1.94510913686e-08,1.21263762041e-05,6.47566083796e-06,,9.59276127418e-06,1.04709372914e-05,,3.87487101796e-06,1.21086461818e-05,6.54444254635e-06,,9.71774007091e-06,1.1807836431e-05,1.04631172418e-05,6.62118641971e-06,1.21724586979e-05,1.03289606452e-05,1.21487565807e-05,5.76125295194e-06,5.56473807712e-06,6.77533441413e-06,5.59635656986e-06,6.01957444376e-06,7.93451230697e-06,7.04638086993e-06,9.03730599467e-06,6.68620594583e-06,7.9407526342e-06
,,,1.94510913686e-08,1.94510913686e-08,,,7.524253022e-06,6.28515472096e-06,6.67831859828e-06,7.9823138478e-06,5.67493190973e-06,6.79449319635e-06,7.45196509744e-06,,1.21193403226e-05,6.43715591093e-06,,1.19088197966e-05,1.04430401129e-05,,3.99977989865e-06,1.21381487901e-05,6.52958797693e-06,,9.78834497934e-06,1.18547810673e-05,1.048664788e-05,6.60250171523e-06,1.22111043474e-05,1.0329183801e-05,9.87998431386e-06,6.07671459217e-06,6.02457423691e-06,6.61959721699e-06,5.51320714991e-06,6.91575632811e-06,7.89889205719e-06,6.98266747323e-06,9.04753251331e-06,6.12554204788e-06,7.93295287441e-06
,,,,,,,8.08267280567e-06,5.87521371068e-06,7.51898251691e-06,8.55111342161e-06,4.24181413145e-06,6.78489927091e-06,6.80058711179e-06,,1.21727686221e-05,5.77287541547e-06,,1.2093851292e-05,1.09855698656e-05,,,1.2131019424e-05,6.61989876125e-06,,9.6884110141e-06,1.18893672299e-05,1.04020378256e-05,7.2914825128e-06,9.8127367968e-06,1.04313546619e-05,1.22132917618e-05,5.96392239548e-06,6.90113554204e-06,3.48008857671e-06,,6.76380061141e-06,9.3024285804e-06,7.02113632511e-06,9.1076318734e-06,6.68884254791e-06,7.99290158115e-06
,,,,,,,8.08267280567e-06,5.87521371068e-06,7.51898251691e-06,8.55111342161e-06,4.24181413145e-06,6.78489927091e-06,6.80058711179e-06,,1.21727686221e-05,5.77287541547e-06,,1.2093851292e-05,1.09855698656e-05,,,1.2131019424e-05,6.61989876125e-06,,9.6884110141e-06,1.18893672299e-05,1.04020378256e-05,7.2914825128e-06,9.8127367968e-06,1.04313546619e-05,1.22132917618e-05,5.96392239548e-06,6.90113554204e-06,3.48008857671e-06,,6.76380061141e-06,9.3024285804e-06,7.02113632511e-06,9.1076318734e-06,6.68884254791e-06,7.99290158115e-06
,,,,,,,7.17393892473e-06,,6.79815256888e-06,7.32489374282e-06,,6.70328172794e-06,7.37314437468e-06,,1.2181382018e-05,3.92992189624e-06,,9.55013934067e-06,8.66713641182e-06,,,1.21843015016e-05,9.75109092227e-07,,8.12923898974e-06,9.59630162613e-06,8.40981219693e-06,8.7361072831e-06,1.23244285022e-05,1.07199683047e-05,1.22631313583e-05,1.68263613217e-07,6.01354061148e-06,,,5.99893381124e-06,8.23173131772e-06,5.96431217732e-06,7.75420793575e-06,7.846894899e-06,8.16379027307e-06
,,,,,,,7.47409465678e-06,,6.12563079346e-06,7.07848100364e-06,,6.91719757187e-06,8.0659073301e-06,,1.21757900417e-05,,,1.00955902628e-05,8.1693650792e-06,,,9.86883611812e-06,,,9.57405504403e-06,9.52142129812e-06,8.25397590394e-06,4.81110409387e-06,1.24085257275e-05,8.58163584684e-06,1.28460791878e-05,,5.1708179298e-06,,,7.0548627152e-06,8.06880381598e-06,6.64657860264e-06,7.53728338789e-06,8.67300605586e-06,8.12342891627e-06
,,,,,,,8.03992540634e-06,,,7.28829142597e-06,,6.06731378316e-06,6.96118764258e-06,,1.23177023843e-05,,,1.22391228222e-05,7.55899058261e-06,,,9.69636318099e-06,,,6.6735072961e-07,9.26897060727e-06,7.62379211477e-06,,1.23740228999e-05,8.51032848047e-06,1.02962781624e-05,,,,,8.247973726e-06,9.61702078788e-06,6.95562108592e-06,7.62794771538e-06,7.39923479149e-06,8.08999180061e-06
,,,,,,,8.1450727904e-06,,,8.51546683995e-06,,,7.69692936717e-06,,1.23769029983e-05,,,1.24873278092e-05,9.70714280882e-06,,,1.1953632078e-05,,,,1.14535935084e-05,6.50795954456e-07,,1.2233561195e-05,9.04971143855e-06,1.23676991051e-05,,,,,7.48582821215e-06,1.01511617826e-05,8.05074206253e-06,7.58211478057e-06,8.1818436155e-06,9.58841211413e-06
,,,,,,,5.00791004277e-07,,,8.92599896882e-06,,,8.1450727904e-06,,1.17183083195e-05,,,1.00195872139e-06,9.5392300113e-06,,,1.22949612746e-05,,,,1.15815772046e-05,,,1.23769029983e-05,9.66547807008e-06,1.24873278092e-05,,,,,,1.0048726659e-05,7.29933543005e-06,8.80990084206e-06,8.73743984667e-06,1.01511617826e-05
