BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
35419.003165,35392.9732108,35392.9732108,35366.9432566,35366.9432566,35392.9732108,35392.9732108,303.561997994,398.447475034,311.011944465,251.316032652,421.350119153,311.733198994,260.107428291,31638.3913576,104.026016551,436.031077602,36557.1410847,124.625632426,168.528104694,36557.1410847,804.07965852,98.7739806268,435.713653707,36557.1410847,234.071462642,106.650794413,194.897360179,378.818364051,279.605763531,211.130711305,109.472156217,592.74482751,456.497560657,453.315614104,677.307674288,391.266767417,159.660625266,342.919538673,195.392903366,320.228509983,159.04662347
,35392.9732108,,35366.9432566,35392.9732108,35392.9732108,35419.003165,107.015085646,113.040711027,104.935033084,89.6917936623,117.810111594,105.149345266,102.045275586,36557.1410847,58.7247014531,95.0329636543,,75.7975181832,58.7723165487,,183.644062875,58.7676810578,108.733028339,,73.2265991539,60.2207098285,68.0100433178,107.551392931,58.4595992079,68.9438024556,58.5736533716,106.817257667,130.663382001,105.104453709,127.246685125,117.375961856,89.0481119649,99.8726474951,77.8706301583,105.673284075,88.978132533
,,,35366.9432566,35392.9732108,,,92.782361159,103.827363906,97.7148719119,81.7521158476,114.991872466,96.0441091865,93.6823981608,,58.7587940712,95.6014192551,,60.7222087005,58.9293188955,,177.909053719,58.6248421534,108.980391928,,72.6984039034,59.9822373249,67.8574378578,107.855757258,58.2745865247,68.9423129662,72.4267053633,101.272033056,120.030032435,107.577213379,129.165801852,101.759038253,89.4496766359,100.783936144,77.7826121877,115.345439599,89.0656167361
,,,,,,,85.173799841,117.175644944,91.4918532083,80.4486633255,162.296586884,101.465317058,103.069128794,,58.4581108,106.602203713,,58.8395739019,56.0190548675,,,58.6163673934,107.493646431,,73.3945215969,59.8077490302,68.4093894662,97.5929182584,74.0983389408,68.2171280642,58.306788717,103.187332135,103.037577958,204.476708328,,104.38400175,75.5953073137,100.157569193,77.2121619619,105.553774035,88.3324494477
,,,,,,,85.173799841,117.175644944,91.4918532083,80.4486633255,162.296586884,101.465317058,103.069128794,,58.4581108,106.602203713,,58.8395739019,56.0190548675,,,58.6163673934,107.493646431,,73.3945215969,59.8077490302,68.4093894662,97.5929182584,74.0983389408,68.2171280642,58.306788717,103.187332135,103.037577958,204.476708328,,104.38400175,75.5953073137,100.157569193,77.2121619619,105.553774035,88.3324494477
,,,,,,,97.7051235384,,103.106039736,95.6915708962,,104.565288667,93.3701987573,,58.4595262871,157.605905014,,76.1357998213,71.4629224304,,,58.445518785,729.761482614,,89.4434888707,75.7695542965,86.4594214567,81.4547067469,57.6964920756,66.4290977411,58.0273533784,4321.24024443,118.419059303,,,117.779819303,85.8328962677,118.463507491,91.1186991827,89.6839733164,86.5472184689
,,,,,,,93.4050200589,,114.425862826,99.0227406893,,101.331584304,85.3508387285,,58.4863749995,,,72.0222867786,75.8172625519,,,72.5612898789,,,75.5301528705,76.3654368755,88.0917881962,147.907225238,57.3054613441,83.445101973,55.3941048044,,137.718603123,,,100.151252947,87.5660576724,106.303315215,93.7411138651,81.1414990611,86.9772293917
,,,,,,,85.5636849778,,,96.1721407572,,115.525686317,100.691236164,,57.7279974162,,,58.0986318827,94.1391643603,,,74.9876508887,,,1066.30145931,78.4453342139,81.2428890725,,57.5494184919,85.4382411648,70.6184784092,,,,,86.6579787054,74.3216373631,103.163376815,94.0705660086,96.9783199602,88.6979093125
,,,,,,,84.5212772735,,,80.844887153,,,89.3766347457,,57.4939511889,,,56.9855350742,63.3967433231,,,59.4862119542,,,,62.128715877,1093.42575347,,58.1250447094,78.6320162456,57.4946305995,,,,,94.2463264482,69.2235230713,87.283777868,93.0494762788,85.8851885811,73.2862932355
,,,,,,,1292.9043904,,,77.1266004103,,,84.4591156415,,56.5985079202,,,709.686213847,74.5423153202,,,57.8771287653,,,,61.4421545773,,,57.4518756034,73.5686622284,56.943831561,,,,,,69.9291766713,96.6542524561,79.76243938,80.4239221317,69.2235230713
,,,,,,,,,,94.2803175578,,,84.5212772735,,53.8428614053,,,,73.8086544192,,,73.5080951313,,,,61.2279799179,,,57.4939511889,72.7201873452,56.9855350742,,,,,,71.0217056367,102.732421812,89.7404296849,94.3158932918,69.2748241392
,,,,,,,,,,94.2803175578,,,84.5212772735,,53.8428614053,,,,73.8086544192,,,73.5080951313,,,,61.2279799179,,,57.4939511889,72.7201873452,56.9855350742,,,,,,71.0217056367,,89.7404296849,94.3158932918,69.2748241392
