BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171840.599962,-88311.7990602,-84950.2081443,-2013.19408473,-100470.368747,-85537.8815944,-91569.1792118,0.0,-96392.6917659,168156.376063,0.0,113216.437086,-98862.7439366,0.0,-136143.993386,1323.32962818,-182084.264608,0.0,-309577.90347,90861.3991735,-110990.734147,-145370.188176,-220595.798719,-311202.680305,-69287.6959868,-178983.656008,-183982.188815,-181125.722485,-174674.949922,-272031.972617,-362766.304843,-325046.92131,-357834.73945,-267818.24214,-362532.857409
,0.0,,0.0,0.0,0.0,0.0,-14735.4812631,-15439.1494322,-14024.7853996,-174.648639037,-17265.1779055,-13510.7063759,-13674.028321,0.0,-11517.743924,15970.5208674,,17306.815298,-13464.1663493,,-17505.599925,-64.718006405,-16748.0840226,,-27580.5251896,-12346.1531088,-11758.5885914,-18256.2098716,-11169.252498,-27171.2608824,-8813.61037897,-19531.7063721,-26182.2685218,-21377.8891253,-20075.0338564,33032.7938674,-45505.5249415,-31839.1631533,-32760.3957841,34766.9644896,-46433.5081074
,,,0.0,0.0,,,-11666.7008917,-12664.2285126,-11241.3119786,-193.076301556,-14652.107028,-11266.155144,-11923.1499192,,-11914.0734745,15785.0687889,,14871.9360361,-13655.2816033,,-16989.1302984,202.832072738,-16453.522553,,-27606.4693791,-12684.2116634,-12255.7633721,-17957.6430982,-11977.4656041,-26479.541778,-10665.7995263,-20876.5174806,-22417.6389772,-22238.7609405,-20067.4544233,24276.2704902,-45857.3650678,-31085.9818231,-32807.4126498,32166.1405166,-44170.6805238
,,,,,,,-10288.8462307,-11091.7314091,-10344.3901648,-1490.28325541,-16155.312283,-17714.8072572,-15784.3697006,,-10994.158719,16085.0880657,,13099.3439768,-7970.79165185,,,1311.62774296,-16368.3296829,,-27949.4380405,-12431.1207869,-13398.9634914,-18759.8918557,14782.8375339,-25756.7832873,-8665.23550273,-23234.8183609,-21324.9050082,-22444.3098551,,35847.6227834,-32654.3099075,-30339.3521247,-31248.5174154,28542.8106949,-41459.7638076
,,,,,,,-8852.92158624,-8852.92158624,-10828.3339427,-2398.01958998,-2398.01958998,-11472.7192827,-12540.0301595,,-11516.0303634,17077.3855032,,12746.4577785,-8245.34403533,,,1103.41712988,-14738.4538798,,-27455.9721502,-10848.7435441,-10683.3866906,-19430.3793646,-10077.66648,-25760.3565841,-10702.5799488,-21934.3602856,-19133.1223994,-19133.1223994,,34323.2609544,-31348.9615208,-25835.8979492,-29864.2041146,29172.6547561,-41521.7023038
,,,,,,,11283.5092154,,-11303.2117793,-2612.72700507,,-16471.4736705,-9124.70062614,,-11650.9771327,20907.8463785,,16011.998226,-9686.9480841,,,648.968920144,-13981.9011532,,-35019.9078762,-11542.4261111,-9967.48250969,-18116.2037622,-8411.16046712,-26426.5619735,-11019.0684373,-23903.3939498,-17398.122295,,,-33742.3006428,-41959.1430608,34005.2680584,-39238.6710304,21440.4055885,-43373.458828
,,,,,,,-13321.5594174,,-14848.2469481,-4487.26909415,,-12858.4375383,-12212.7687795,,-9476.52161757,,,7000.35535128,8132.08779642,,,-838.115272273,,,-24022.3198649,-13975.5305916,-10530.3185985,-18826.5888928,-10194.7539299,-34220.8069028,-4716.1006833,,-13889.4378345,,,27693.5104465,-40517.1702117,-36773.0493966,-35650.6728197,22878.5396815,-43291.9018444
,,,,,,,-12354.9546041,,,180.388443784,,-17644.9661311,-15620.4056171,,8379.06248728,,,-10794.972218,-20757.7486022,,,-1942.20442423,,,-37119.6951539,12538.7525908,-10699.7163716,,-11512.3904954,-32570.4878434,5853.3132012,,,,,22836.0139265,-31427.4535194,31904.9250639,-34333.8084935,30974.9855365,-42092.1234499
,,,,,,,-13201.7025437,,,-234.296911515,,,-11990.2189347,,-9829.6208492,,,7560.11056007,-14688.0121209,,,2790.03981429,,,,-12084.4313862,-15685.3458372,,-13117.2467781,-22527.927874,8405.91864574,,,,,31339.8178925,-32168.1796391,-25822.2208648,-35615.1034253,22832.016722,-31467.0628326
,,,,,,,-16699.9416931,,,0.017359768848,,,-11975.6982327,,22343.4521473,,,29931.5068967,-19694.1350293,,,-0.0157024761379,,,,-12219.502614,,,-10145.9591012,-31060.1962994,7764.03775144,,,,,,-49228.9585373,34322.7029231,-28819.5402682,22788.3910826,-32380.0294359
,,,,,,,,,,0.0166680048589,,,-13201.7025437,,-14796.5800212,,,,-18902.4204789,,,0.0113661497417,,,,-11958.3575698,,,-9829.6208492,-29659.7686456,7560.11056007,,,,,,-58498.6099426,33653.9231823,-38771.0050538,31339.8178925,-32168.1796391
,,,,,,,,,,0.0268223476525,,,-16699.9416931,,-14796.5800212,,,,-17740.3399773,,,0.0326901032314,,,,-27786.5982388,,,22343.4521473,-35986.5292357,29931.5068967,,,,,,-58498.6099426,,-54616.4224619,-54616.4224619,-49228.9585373
