BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
-142964.265962,-142964.265962,-142964.265962,-142964.265962,-142964.265962,-142964.265962,-142964.265962,-172584.43826,-120168.838423,-139074.945345,-219384.057207,-134236.910009,-140628.428411,-229047.066246,-285928.531924,-145807.423481,-209856.346501,-285928.531924,115607.109476,-317946.041006,-285928.531924,-280931.729473,-202750.143933,-85161.3794476,-285928.531924,-220111.611368,143533.500365,-303576.881005,-155884.573204,-301287.122183,-153209.853796,149595.272539,-263001.306998,-280070.753349,-276113.033693,-257997.251551,138697.89857,51326.4912728,-30481.8489366,233084.467414,-81210.6867532,-48633.3086708
,-19469.0030531,,-19469.0030531,-19469.0030531,-19469.0030531,-19469.0030531,-22133.345365,-19023.3107365,-21950.1116144,23758.1214271,-23665.1477022,-21468.4190434,-22867.7666631,-38938.0061063,-17805.9581967,-20463.7612177,,-12296.7327843,-27417.4971912,,-31819.681376,-27703.5388859,-9315.98457512,,-21883.6536579,-20176.1237314,-26765.7804645,-14595.8447637,-16693.1118637,-15129.1129323,12785.7885361,-28375.423166,-38860.9135251,-31905.6573908,-29745.7435506,16953.3378515,13548.9829915,-3171.64625911,21158.0465536,-10319.804115,-11321.6687236
,,,-19469.0030531,-19469.0030531,,,-16754.2454137,-17607.4125975,-17749.1349009,18077.9989468,-19182.9900123,-17950.9664166,-18944.0511255,,-17221.8115233,-20530.954802,,-11564.6903838,-27589.6267922,,-33318.1048211,-28517.9610917,-10143.0751098,,-21969.6122572,-20715.8690227,-26842.8682986,-14163.6398915,-17315.5536424,-14946.7261246,18647.7642077,-31170.1286608,-33916.015729,-32586.7634025,-29984.3818254,14271.8220441,12410.1497501,-3399.59506108,21713.3658286,-10839.3157961,-12019.5771265
,,,,,,,-17893.5347099,-13894.6567347,-15076.5508318,-18146.4211185,-17322.1454858,-20334.22225,-25426.1412239,,-18070.4068504,-20826.4509107,,-11307.1289913,-28555.7472565,,,-27562.0268555,-7319.89338299,,-23999.5810414,-20316.9984664,-25805.2773215,-12828.0743541,-18191.8440733,-13156.2153159,9965.07135667,-31193.1821942,-32276.4625705,-31928.390209,,15120.581792,9055.15843658,-4180.16346267,21945.8639085,-5334.80987459,-11069.1183837
,,,,,,,-17412.0752552,-17412.0752552,-14625.1391741,-22183.7185686,-22183.7185686,-20388.3565675,-28414.8321482,,-17435.8599439,-29474.9223527,,-14617.977643,-28363.9210527,,,-27006.6787862,-6353.841029,,-25237.3349174,-20431.2087746,-26779.0026954,-15735.1478409,-16762.3997776,-13506.1991671,10631.838409,-33234.304676,-33836.6516377,-33836.6516377,,17782.444362,8618.39118565,-10776.6123662,23872.3878585,5016.76945369,7003.69986346
,,,,,,,-20206.4763916,,-17586.8664498,-29403.2967756,,-26409.562103,-24628.6304488,,-17632.4570418,-34341.5726368,,-14517.8502463,-35987.2512148,,,-26110.4708519,-6825.33956656,,-30049.8287275,-22261.1889794,-32303.278787,-14701.7763946,-14638.4683131,-14670.8766751,8552.12859375,-43614.305565,-32443.3887661,,,17986.0681372,7637.27115729,-13125.0615317,32106.7957811,3717.02062458,6443.07083007
,,,,,,,-20300.5781183,,-22150.4399741,-22808.762443,,-20272.4112029,-19256.2073126,,-17948.418016,,,-9578.90746284,-34120.0232091,,,-29595.6172315,,,-22987.8751894,-21086.2738731,-36704.1898993,-22340.5814843,-14022.3633618,-19264.8103078,-7392.11261302,,-23564.5308299,,,-661.276966153,8486.41776401,-2370.731617,26922.4805078,-1131.91183389,6106.26669041
,,,,,,,-18638.4842757,,,-24653.909816,,-20722.8614417,-24495.7848124,,-17866.1209306,,,12551.7428775,-35653.044171,,,-29694.1487246,,,-35670.6050719,-21249.0848038,-37418.7201267,,-14166.7443295,-23348.0355128,10180.8287499,,,,,1392.41247757,-11762.4734499,236.415543736,25372.1610322,-1416.30414787,9649.5364428
,,,,,,,-20328.7709167,,,-19820.4611391,,,-18833.7760796,,-15136.3225002,,,11641.694196,-37142.8910131,,,-26212.0550001,,,,-18655.7976156,-42815.7601138,,-14351.6441196,-27167.9511245,-11409.6038679,,,,,0.00886193294979,0.0951199307612,-330.637467035,32101.830009,-1163.86481262,12786.0120706
,,,,,,,-25715.4244964,,,-23259.5183564,,,-18440.9232619,,34405.7827016,,,46090.6208536,-34968.1268101,,,-26065.1468422,,,,-18816.3315828,,,-15623.4137351,-20883.0780437,11955.7103468,,,,,,0.0834920488148,-0.0144377238912,18715.3838015,0.012399125272,0.0924056579343
