BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6907.09338336,-2636.26756852,3840.92951561,5002.44952068,-2774.00410139,3866.31826166,6926.35409504,0.0,-16396.9045658,-2916.35853517,0.0,-13404.6278526,-10260.6301775,0.0,-1917.19592191,-15342.6854979,-2432.21311122,0.0,-10212.6801436,-15084.9141506,-10203.5990734,-3223.92377641,8040.15724808,-10260.4187449,-13395.544928,2422.26310657,4007.46623586,3976.94607871,2400.50880736,-5978.57028371,-23067.27591,-5534.65542204,-19628.8559979,-5918.88769511,-23076.4320051
,0.0,,0.0,0.0,0.0,0.0,-5528.70671417,-3164.85653422,3835.34740455,-4398.63889323,-2999.16513021,3900.7058666,-5314.25560005,0.0,-15228.0539386,-2191.94179356,,-13337.6815046,-8897.00309893,,-1378.35850677,-14615.8299721,-1611.12184938,,-8403.27122549,-14160.6128177,-8533.05905224,-2074.53167764,-15473.0521699,-8798.31737864,-12627.443761,2591.79602223,3464.89775452,3381.60805767,2276.46523012,-5845.17141576,-22485.6183727,-4203.72257637,-17576.0822366,-5461.73350893,-22712.455202
,,,0.0,0.0,,,-5100.35736854,-3080.56585589,3737.01354638,-4245.24636587,-3132.71261615,3722.95881927,-5403.10691361,,-15636.3214157,-2032.5961902,,-12274.6781901,-8768.44362052,,-1448.81450631,-14698.6346443,-1467.51529953,,-8527.78846343,-14152.8830617,-8282.30246156,-2199.67434597,-15360.6286772,-8980.65301481,-13196.5380771,2362.16108515,3661.32180219,3508.68610035,2669.12979551,-5230.29410423,-22823.4913949,-4168.99582934,-17629.7649484,-5836.99866263,-22675.9245776
,,,,,,,-4915.14948507,-1998.17919533,3856.49531195,-4870.54175256,-1296.04586707,4317.79768608,-5594.28977684,,-15995.891372,-1820.36884172,,-12668.5245938,-9697.59289307,,,-14867.4915124,-1405.02662353,,-8909.19719382,-14659.2896313,-8520.57347091,-2455.66389616,-16109.6911905,-8389.81446371,-11506.9228059,2821.42163621,4138.82895939,2235.55185904,,-6426.00448566,-22256.8995437,-4217.28083498,-17966.1185434,-4859.85315642,-22717.197159
,,,,,,,-5721.64381093,-5721.64381093,4408.46588109,-5924.21155677,-5924.21155677,5228.67690484,-5762.48060677,,-15726.4983084,-1562.56102041,,-11645.2705348,-8511.45756589,,,-15302.1831475,-107.895934906,,-9247.71306451,-13854.7251335,-7572.65217068,4202.31630266,-16276.7077522,-9585.76670985,-12327.0388139,47.5426733111,2812.51470283,2812.51470283,,-5931.58458335,-21714.0910269,-4098.50200006,-17978.5003993,-5905.99985705,-24313.9025539
,,,,,,,-6060.89614467,,4825.817532,-6386.69831523,,5594.57651436,-6009.43927735,,-15059.3076025,-1593.9160161,,-11984.6146334,-8072.43785291,,,-14673.7632863,-112.954673615,,-9533.53764185,-14257.6015374,-8108.03344102,3946.72733986,-15767.1970584,-9038.76821751,-12327.7831308,54.6966554389,2480.85187496,,,-6288.89637032,-21550.459587,-4527.50725141,-18219.7517877,-6134.75455103,-23926.3160315
,,,,,,,-5761.28026648,,4261.07677507,-5529.52013372,,5585.707031,-6017.6351266,,-14832.6033406,,,-11537.9969778,-7998.3594206,,,-15952.7356853,,,-8901.71861944,-13740.1197366,-8092.73802785,-1751.87502658,-15756.4766154,-10300.9309132,-12333.0172734,,-1709.60379203,,,-5899.93696399,-21797.8747236,-5782.78272887,-18170.1715925,-6141.58822054,-23958.9511447
,,,,,,,-6032.1334062,,,-5959.33250778,,4684.50918489,-6447.65409246,,-16310.1459674,,,-13718.6019835,-5379.31413969,,,-15574.2187456,,,-218.495109638,-11719.2018492,-6842.6711481,,-15323.4362179,-11988.6713055,-13379.7844139,,,,,-6155.97126652,-28482.9199206,-6121.85481081,-17966.8453771,-6590.04057262,-24125.3868097
,,,,,,,-6124.8217469,,,-5957.3231412,,,-6032.6945157,,-16213.4735243,,,-13921.9214967,-8198.84084869,,,-15456.8685184,,,,-11424.0316019,-201.661398698,,-16311.6753495,-8310.45694155,-13720.6921849,,,,,-6258.98661578,-28385.3140732,-6100.68744467,-18689.4868437,-6156.52522366,-28489.6326461
,,,,,,,133.350567349,,,-6056.79912551,,,-6037.36757686,,-22748.5518158,,,-400.655867404,-8815.19055845,,,-15433.1433678,,,,-11826.2420459,,,-16313.0662629,-8815.19076476,-13734.9863563,,,,,,-37964.4804339,-6207.48778556,-17580.3181725,-6161.12473822,-28522.3586516
