BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
700.930588898,688.938266748,688.431955731,688.431955731,700.930588898,687.925644713,688.431955731,700.930588898,700.930588898,688.431955731,688.431955731,700.930588898,687.925644713,688.431955731,615.401241052,727.107497106,712.117822294,712.117822294,727.107497106,615.401241052,711.597056854,712.117822294,711.076291414,619.378897092,711.076291414,711.076291414,711.597056854,711.076291414,727.107497106,711.076291414,711.076291414,711.597056854,615.401241052,712.117822294,711.597056854,711.076291414,705.511809418,705.511809418,705.511809418,702.699181859,705.511809418,702.699181859
,688.431955731,700.930588898,688.431955731,,688.938266748,700.930588898,700.930588898,688.431955731,700.930588898,688.431955731,688.431955731,700.930588898,700.930588898,711.076291414,712.117822294,615.401241052,,712.117822294,619.378897092,,711.076291414,711.076291414,711.597056854,,673.243197099,711.076291414,712.117822294,711.597056854,712.117822294,712.117822294,727.107497106,615.401241052,711.597056854,711.597056854,711.597056854,706.032574858,706.032574858,703.219947299,706.032574858,706.032574858,706.032574858
,688.431955731,,688.431955731,,,,698.117961339,691.24458329,698.117961339,688.431955731,691.24458329,698.117961339,700.930588898,,712.117822294,615.401241052,,712.117822294,615.401241052,,711.076291414,711.076291414,711.597056854,,669.265541059,711.076291414,712.117822294,715.574712894,716.095478334,712.117822294,727.107497106,615.401241052,711.597056854,711.597056854,711.597056854,706.032574858,703.219947299,703.219947299,703.219947299,706.032574858,706.032574858
,,,,,,,688.431955731,688.431955731,687.925644713,687.925644713,688.431955731,687.925644713,688.431955731,,711.597056854,615.401241052,,711.597056854,615.401241052,,,711.076291414,711.597056854,,711.076291414,711.076291414,711.076291414,711.597056854,711.597056854,711.076291414,711.597056854,615.401241052,711.076291414,711.076291414,,705.511809418,702.699181859,702.699181859,702.699181859,705.511809418,702.699181859
,,,,,,,700.930588898,,688.431955731,687.925644713,,688.431955731,700.930588898,,727.107497106,615.401241052,,712.117822294,615.401241052,,,711.076291414,711.597056854,,711.076291414,711.076291414,711.597056854,711.597056854,727.107497106,711.597056854,727.107497106,711.597056854,711.597056854,,,706.032574858,706.032574858,703.219947299,703.219947299,706.032574858,706.032574858
,,,,,,,700.930588898,,688.431955731,687.925644713,,688.431955731,700.930588898,,727.107497106,615.401241052,,712.117822294,615.401241052,,,711.076291414,711.597056854,,711.076291414,711.076291414,711.597056854,711.597056854,727.107497106,711.597056854,727.107497106,,711.597056854,,,706.032574858,706.032574858,703.219947299,703.219947299,706.032574858,706.032574858
,,,,,,,700.930588898,,688.431955731,687.925644713,,688.431955731,700.930588898,,727.107497106,615.401241052,,712.117822294,615.401241052,,,711.076291414,,,711.076291414,711.076291414,711.597056854,711.597056854,727.107497106,711.597056854,727.107497106,711.597056854,711.597056854,,,706.032574858,706.032574858,703.219947299,703.219947299,706.032574858,706.032574858
,,,,,,,700.930588898,,688.431955731,687.925644713,,688.431955731,700.930588898,,727.107497106,,,712.117822294,615.401241052,,,711.076291414,711.597056854,,711.076291414,711.076291414,711.597056854,711.597056854,727.107497106,711.597056854,727.107497106,711.597056854,711.597056854,,,706.032574858,706.032574858,703.219947299,703.219947299,706.032574858,706.032574858
,,,,,,,700.930588898,,691.24458329,690.738272272,,691.24458329,700.930588898,,723.129841066,,,712.117822294,619.378897092,,,715.053947454,715.574712894,,715.053947454,711.076291414,715.574712894,715.574712894,727.107497106,711.597056854,727.107497106,711.597056854,715.574712894,,,706.032574858,706.032574858,706.032574858,706.032574858,706.032574858,706.032574858
,,,,,,,700.930588898,,691.24458329,687.925644713,,691.24458329,698.117961339,,727.107497106,,,712.117822294,619.378897092,,,711.076291414,,,715.053947454,711.076291414,711.597056854,,723.129841066,715.574712894,723.129841066,,711.597056854,,,706.032574858,706.032574858,703.219947299,706.032574858,703.219947299,706.032574858
