BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
1.33322027625e-08,1.94510913686e-08,1.94510913686e-08,1.94510913686e-08,1.33322027625e-08,1.94510913686e-08,1.94510913686e-08,2.30901955294e-06,1.60930701711e-06,2.21352256073e-06,2.73729311041e-06,1.52228848601e-06,2.20840115186e-06,2.64672162673e-06,1.94510913686e-08,5.79492540443e-06,1.41137013544e-06,1.94510913686e-08,5.40212461909e-06,3.65162381769e-06,1.94510913686e-08,8.84335630033e-07,7.19902434732e-06,1.45335799636e-06,1.94510913686e-08,3.0378598202e-06,6.66733234693e-06,3.65113748181e-06,1.66807361609e-06,2.54313889111e-06,3.37040998184e-06,6.49549909297e-06,1.03822287853e-06,1.558818969e-06,1.56861195443e-06,1.04985713053e-06,1.80314779626e-06,4.41882153626e-06,1.9017623354e-06,3.59633932324e-06,2.03310906415e-06,4.9490202392e-06
,1.94510913686e-08,1.33322027625e-08,1.94510913686e-08,,1.94510913686e-08,1.33322027625e-08,6.49456750555e-06,6.08873659444e-06,6.22242606608e-06,8.14749854541e-06,6.153889129e-06,6.27888780447e-06,6.68752830935e-06,1.94510913686e-08,1.19397148273e-05,6.54046053254e-06,,1.18090487805e-05,8.54397780638e-06,,3.69822228333e-06,1.20814886638e-05,6.02793936448e-06,,8.0385840852e-06,1.18422652543e-05,1.05101211318e-05,5.72137749497e-06,1.22162141527e-05,1.02723063202e-05,9.79720072435e-06,5.98049649427e-06,6.41012307103e-06,7.20883509657e-06,5.62486328567e-06,6.04803882819e-06,8.00572801063e-06,6.51296830443e-06,7.72155805316e-06,6.20753980111e-06,8.23779884714e-06
,1.94510913686e-08,,1.94510913686e-08,,,,7.38242259063e-06,5.68384127292e-06,6.93345611455e-06,8.53541102628e-06,5.47330594701e-06,6.66896897733e-06,6.54537050521e-06,,1.21930299436e-05,6.15692752911e-06,,1.20966751727e-05,9.69598218045e-06,,3.93727263067e-06,1.21220489436e-05,6.21565914859e-06,,9.29969571247e-06,1.17998559194e-05,1.0464969208e-05,5.86799067328e-06,9.77382503879e-06,1.02935315824e-05,9.70927631154e-06,5.10653466472e-06,6.65999128197e-06,6.7066337949e-06,5.31458836088e-06,5.78500071071e-06,9.38528859886e-06,7.02443174561e-06,8.56103083255e-06,6.33991220167e-06,7.97284233273e-06
,,,,,,,7.8630003135e-06,5.48001232216e-06,7.54460171117e-06,8.42307898793e-06,3.83909833711e-06,6.87739377838e-06,7.46705715771e-06,,1.21988315558e-05,5.69557252257e-06,,1.21329474868e-05,1.09012635104e-05,,,1.21053339105e-05,6.52941082888e-06,,9.83793069107e-06,1.19019919578e-05,1.03845834703e-05,6.74668008035e-06,1.19672890818e-05,1.04633396827e-05,1.21235614034e-05,5.99014956649e-06,7.36953867902e-06,4.82664574485e-06,,6.25632837076e-06,9.70204377218e-06,7.08005603741e-06,9.10909998976e-06,6.63989260841e-06,9.47160194447e-06
,,,,,,,7.17345491919e-06,,7.86746291047e-06,8.54733956972e-06,,7.69150509114e-06,6.77322304089e-06,,9.81012582698e-06,4.51634920384e-06,,1.18184462886e-05,1.0538675467e-05,,,1.21970443014e-05,9.80423667695e-07,,9.92772525319e-06,1.1879280555e-05,1.04284580754e-05,8.68871471394e-06,1.00174996195e-05,1.06618552536e-05,9.92579064306e-06,1.95566946173e-07,5.95593135965e-06,,,5.99922773439e-06,8.2339848002e-06,6.80196572268e-06,9.08598541418e-06,6.8537173015e-06,8.37681769857e-06
,,,,,,,7.17345491919e-06,,7.86746291047e-06,8.54733956972e-06,,7.69150509114e-06,6.77322304089e-06,,9.81012582698e-06,4.51634920384e-06,,1.18184462886e-05,1.0538675467e-05,,,1.21970443014e-05,9.80423667695e-07,,9.92772525319e-06,1.1879280555e-05,1.04284580754e-05,8.68871471394e-06,1.00174996195e-05,1.06618552536e-05,9.92579064306e-06,,5.95593135965e-06,,,5.99922773439e-06,8.2339848002e-06,6.80196572268e-06,9.08598541418e-06,6.8537173015e-06,8.37681769857e-06
,,,,,,,7.17345491919e-06,,7.86746291047e-06,8.54733956972e-06,,7.69150509114e-06,6.77322304089e-06,,9.81012582698e-06,4.51634920384e-06,,1.18184462886e-05,1.0538675467e-05,,,1.21970443014e-05,,,9.92772525319e-06,1.1879280555e-05,1.04284580754e-05,8.68871471394e-06,1.00174996195e-05,1.06618552536e-05,9.92579064306e-06,1.95566946173e-07,5.95593135965e-06,,,5.99922773439e-06,8.2339848002e-06,6.80196572268e-06,9.08598541418e-06,6.8537173015e-06,8.37681769857e-06
,,,,,,,7.17345491919e-06,,7.86746291047e-06,8.54733956972e-06,,7.69150509114e-06,6.77322304089e-06,,9.81012582698e-06,,,1.18184462886e-05,1.0538675467e-05,,,1.21970443014e-05,9.80423667695e-07,,9.92772525319e-06,1.1879280555e-05,1.04284580754e-05,8.68871471394e-06,1.00174996195e-05,1.06618552536e-05,9.92579064306e-06,1.95566946173e-07,5.95593135965e-06,,,5.99922773439e-06,8.2339848002e-06,6.80196572268e-06,9.08598541418e-06,6.8537173015e-06,8.37681769857e-06
,,,,,,,6.84663026043e-06,,6.68502057666e-06,7.29920957234e-06,,6.68968702283e-06,6.58206979753e-06,,1.18576198203e-05,,,1.17631989077e-05,8.72797423147e-06,,,9.86322773326e-06,4.04881228621e-07,,8.03825643293e-06,1.17714555015e-05,8.25845602403e-06,3.61895649745e-06,9.84863808069e-06,1.07978985487e-05,9.70839552202e-06,1.0154810226e-07,4.197713866e-06,,,5.8813362197e-06,8.00073327945e-06,6.94923203529e-06,7.75255975579e-06,6.72421686041e-06,8.17752190701e-06
,,,,,,,6.48626204809e-06,,6.75714697972e-06,7.53279801287e-06,,6.76891668626e-06,7.65242286463e-06,,9.91675182277e-06,,,1.26620641063e-05,8.23296259979e-06,,,1.21099989434e-05,,,7.69387693354e-06,1.14971393219e-05,1.02129495964e-05,,1.21671823764e-05,8.47970399315e-06,1.2489382328e-05,,8.29642735604e-08,,,6.89920417321e-06,7.95113615239e-06,6.52019473613e-06,7.62662116876e-06,8.23505334807e-06,8.20454802019e-06
