BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
52574.252086,35419.003165,35392.9732108,35392.9732108,52574.252086,35366.9432566,35392.9732108,303.561997994,435.548084639,311.011944465,251.501000427,460.445306747,311.503933121,260.107428291,31638.3913576,125.47314182,504.55780834,36610.6872257,134.596579749,168.528104694,36583.9141552,805.257413712,98.7739806268,426.170908092,36557.1410847,234.071462642,106.72890143,194.754729165,435.896527643,279.605763531,210.976200298,109.552329493,592.74482751,456.831637577,453.647605352,677.307674288,391.266767417,159.660625266,370.977906274,195.392903366,347.011295094,141.987534481
,35392.9732108,52574.252086,35392.9732108,,35419.003165,52574.252086,107.925676082,113.066470367,112.645868582,84.4961127509,111.86941157,111.632921423,104.811606991,36557.1410847,59.642783148,94.0914233776,,60.3027250992,72.493036748,,192.27516275,58.8566782788,118.049803395,,83.7514654277,60.0456311478,67.7554343441,124.375127752,58.2928404326,69.3240446786,74.2158416025,102.901363063,111.011450009,98.7117956399,126.509218218,116.737440832,88.1909270363,107.972266166,91.4365429874,113.737905431,85.7064596938
,35392.9732108,,35392.9732108,,,,94.5648874429,121.615743667,100.688307506,80.6559817226,126.293795739,104.681542786,107.087992703,,58.4036802655,99.9526530306,,58.8688885274,63.4697165897,,180.601232913,58.6597442992,114.484568707,,71.9663913478,60.2614384677,68.0477704368,121.945441419,73.2666561446,69.181098498,74.8879189113,120.512496528,106.846544797,106.103460934,133.895046716,122.045373919,74.9278980493,100.110581577,82.1419711076,111.363147059,88.5546892053
,,,,,,,87.5533420174,125.625986815,91.1811744409,81.6715177073,179.321261213,100.027083933,92.1958867048,,58.333214423,108.04905716,,58.6499741821,56.4522855965,,,58.7407416162,108.983348652,,72.2790507215,59.7443095185,68.4742236843,105.473662361,59.4618423596,67.9588270072,58.6953810994,102.73553844,96.4885757963,147.323074658,,112.767707769,72.4279541877,99.250511316,77.1425478531,106.25349701,74.190109126
,,,,,,,97.7117158739,,87.5036798476,80.4841833066,,89.5054930827,103.485531876,,74.1180602502,136.260774638,,60.2547750275,58.3945528049,,,58.2990660559,725.805669836,,71.6252991777,59.8585316781,68.2360759097,81.8990012081,72.5837309433,66.742329541,73.2543656474,3638.63664479,119.477041269,,,117.687243445,85.7461596043,103.384811975,77.3961122809,103.0145458,84.284104091
,,,,,,,97.7117158739,,87.5036798476,80.4841833066,,89.5054930827,103.485531876,,74.1180602502,136.260774638,,60.2547750275,58.3945528049,,,58.2990660559,725.805669836,,71.6252991777,59.8585316781,68.2360759097,81.8990012081,72.5837309433,66.742329541,73.2543656474,,119.477041269,,,117.687243445,85.7461596043,103.384811975,77.3961122809,103.0145458,84.284104091
,,,,,,,97.7117158739,,87.5036798476,80.4841833066,,89.5054930827,103.485531876,,74.1180602502,136.260774638,,60.2547750275,58.3945528049,,,58.2990660559,,,71.6252991777,59.8585316781,68.2360759097,81.8990012081,72.5837309433,66.742329541,73.2543656474,3638.63664479,119.477041269,,,117.687243445,85.7461596043,103.384811975,77.3961122809,103.0145458,84.284104091
,,,,,,,97.7117158739,,87.5036798476,80.4841833066,,89.5054930827,103.485531876,,74.1180602502,,,60.2547750275,58.3945528049,,,58.2990660559,725.805669836,,71.6252991777,59.8585316781,68.2360759097,81.8990012081,72.5837309433,66.742329541,73.2543656474,3638.63664479,119.477041269,,,117.687243445,85.7461596043,103.384811975,77.3961122809,103.0145458,84.284104091
,,,,,,,102.375995524,,103.402012808,94.6319276665,,103.329883884,106.490907945,,60.984400919,,,60.5377693501,70.964794426,,,72.496951991,1767.36944642,,88.9563493552,60.406828308,86.6475175035,197.729570222,73.8282279386,65.9014394,74.8947130818,7007.48749624,170.467720225,,,120.046286844,88.2459832365,101.598647343,91.0708974968,104.998483766,86.3382064746
,,,,,,,108.063871564,,102.298290294,91.3240529665,,102.120415323,91.2283565203,,73.321134793,,,56.2402635396,75.2315936802,,,58.718113415,,,92.9380536797,61.8481059945,69.6759589517,,59.4328102181,84.3867561264,57.899567975,,8577.15045665,,,102.33536465,88.796438814,107.85259885,92.574753516,85.3934901907,86.0538049287
,,,,,,,,,96.8487487171,1138.33020913,,113.824588953,87.3168084709,,73.7685677319,,,958.97992552,60.8950413057,,,56.0347737361,,,76.8398228371,1342.2622471,71.7778701798,,59.2084833204,69.5532193712,70.6562823398,,,,,701.256943106,85.7909832869,,81.7371428274,97.169219527,86.4251750095
,,,,,,,,,99.5562432932,,,118.015004035,86.4764380693,,57.8440801227,,,1098.66362771,56.4320026318,,,66.3856111049,,,88.9379429324,,71.709902101,,58.3657169942,67.3154476731,71.3306946258,,,,,734.168398762,88.0976732968,,91.4752341649,103.248962864,87.8121883962
,,,,,,,,,91.1184576403,,,103.779633389,101.605784751,,67.5323022605,,,,56.7515952991,,,61.7715577999,,,73.7893969023,,69.4685373231,,73.5727102147,84.6286254753,71.170425379,,,,,,90.4569893842,,80.8434780862,102.284986483,87.6236116697
,,,,,,,,,114.780951773,,,,1270.46972519,,68.4609924968,,,,53.2266198627,,,66.9292585886,,,76.9872212186,,1087.6147116,,59.045314273,94.6062791401,789.778477031,,,,,,88.9874226603,,89.4002699649,,73.8246597491
,,,,,,,,,114.780951773,,,,1270.46972519,,68.4609924968,,,,53.2266198627,,,66.9292585886,,,76.9872212186,,1087.6147116,,59.045314273,94.6062791401,789.778477031,,,,,,88.9874226603,,89.4002699649,,73.8246597491
,,,,,,,,,114.780951773,,,,1270.46972519,,68.4609924968,,,,53.2266198627,,,66.9292585886,,,76.9872212186,,1087.6147116,,59.045314273,94.6062791401,789.778477031,,,,,,88.9874226603,,89.4002699649,,73.8246597491
,,,,,,,,,105.876544484,,,,,,68.4654836553,,,,62.0998632613,,,66.6798642299,,,92.3263472806,,,,53.4113379502,98.7807878272,1075.19983014,,,,,,83.4783336681,,87.5077827977,,77.1559754287
