BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171840.599962,-88311.7990602,-84950.2081443,-2013.19408473,-100470.368747,-85537.8815944,-91569.1792118,0.0,-96392.6917659,168156.376063,0.0,113216.437086,-98862.7439366,0.0,-136143.993386,1323.32962818,-182084.264608,0.0,-309577.90347,90861.3991735,-110990.734147,-145370.188176,-220595.798719,-311202.680305,-69287.6959868,-178983.656008,-183982.188815,-181125.722485,-174674.949922,-272031.972617,-362766.304843,-325046.92131,-357834.73945,-267818.24214,-362532.857409
,0.0,0.0,0.0,,0.0,0.0,-15484.0649605,-12069.4752762,-13790.4953022,-115.471811634,-14027.9031926,-14020.5526379,-14075.6381418,0.0,-11562.4170105,15625.9885529,,13190.0723584,-17465.5685052,,-17207.5099766,-5.76450545945,-16442.1248322,,-36792.0982464,-12544.6155944,-11972.9533341,-17550.2176596,-11836.8751532,-26334.1680764,-9807.00427637,-22023.1101212,-21061.9878188,-21303.7216781,-22895.4130113,34860.4078139,-45430.1846728,-30841.0376345,-45375.9047069,32966.8514598,-44239.8129233
,0.0,,0.0,,,,-12639.2355115,-14973.9495369,-11526.7718011,-635.376959915,-17622.2328496,-11186.3771843,-13167.0898568,,-11425.8771168,15166.1484264,,13996.5070818,-13710.9027006,,-16983.2935762,345.278459854,-16881.9154918,,-27497.6520438,-12788.8800585,-12810.2462559,-22687.1486121,14999.5469009,-26108.0351542,-10763.1524041,-20913.7094246,-21241.9159383,-22110.1410612,-20152.6163731,33901.4482131,-32252.7242471,-29235.7429959,-32593.2468936,31418.7057364,-42230.140843
,,,,,,,-10294.2020762,-11478.1187589,-10604.100788,-1455.75291565,-16069.2980066,-17802.5075388,-13863.5986724,,-11071.2036035,16083.6921785,,13034.3925419,-8210.54139105,,,1116.07361672,-16498.6240795,,-28109.3207995,-12283.7233622,-13662.7919314,-18953.2689489,11838.0846882,-27413.1080549,-8742.09127569,-23073.8792134,-21237.3433894,-17850.096185,,35845.6929553,-32726.8844524,-30634.5608161,-31706.9016294,28822.8538257,-30709.1416749
,,,,,,,10886.7561198,,-10674.4309782,-2724.22200108,,-11854.2657911,-12354.8128936,,-14080.1222805,16858.7395675,,11136.2330234,-8000.33134575,,,894.867188334,-14380.8757127,,-27182.4376931,-10800.3205167,-11094.5275317,-19303.7997355,-10908.5916498,-25176.0049162,-11991.6071534,-22166.2834584,-20086.2805105,,,-33680.6939146,-42205.5842196,-25510.0232259,-29511.1623543,27722.9443226,-39593.9408256
,,,,,,,-15387.3635572,,-15758.9925559,-5049.62862777,,-12375.7578101,-14668.401937,,-11366.1720429,2195.47670935,,7618.83742982,-7277.84188493,,,-573.302697429,372.965249404,,-25802.7338088,-12840.0825145,-11641.5069407,-20600.022559,-12322.7663226,-23967.367314,6533.14583199,,-11414.3133242,,,29080.9432844,-40576.0161401,-29357.2428966,-28523.8846536,28913.1758821,-39591.8236884
,,,,,,,-15573.7753079,,-14565.4801845,-956.042026127,,-11967.1454069,-12499.6478867,,-11049.0574051,15926.9002761,,7734.25268609,-6677.87427351,,,8.57260954907,,,-25334.7371229,-12074.1207303,-11148.7816045,-21601.9744903,-10143.2131624,-24465.0863462,-11345.362287,-401.181858165,-23483.5485684,,,29742.2842162,-41765.5591412,-26187.004508,-27861.4055246,27990.3959287,-39349.2634159
,,,,,,,-11639.8831626,,-11196.1208942,-871.438688189,,-13429.4437706,-14690.8404057,,-14304.2353983,,,11278.9916542,-7834.8386655,,,1155.74040939,-570.582473457,,-27030.0910501,-12139.8354826,-11142.5713803,-21632.1271737,-12595.0045595,-24549.9474494,6805.68353912,-4718.5179283,-25392.9629909,,,33089.2377269,-41991.2821395,-26431.3037065,-29347.4417165,28895.7400713,-39792.9417379
,,,,,,,-12301.9520012,,-12333.135903,-6487.36517665,,-14433.1563809,-12379.2878723,,-11537.1744806,,,9145.81887744,-9341.8339748,,,629.734763319,7374.70783151,,-35354.7734211,-12469.7833952,-12572.8811464,-24912.5458127,-9887.19732556,-25277.2749787,-11953.0762549,-2993.4541109,-14933.9020825,,,-33956.1085915,-42840.1789947,-38838.8329707,-39620.2558549,28026.8899468,-39288.3922511
,,,,,,,-16081.8707925,,-15640.160509,-2278.64505645,,-10435.1054029,-12291.9643515,,-11479.6114338,,,7155.94195754,8897.65556495,,,-509.147225021,,,-32901.7253638,-13656.1811686,-8973.84181638,,-10229.4099376,-33276.8708671,-4720.90023731,,-26699.185967,,,30778.7368253,-45048.6066348,-31242.1625479,-37627.996335,22852.0080441,-43368.1779552
,,,,,,,,,-15208.4859731,858.803817111,,-26995.5470206,-13863.9668345,,14314.2726832,,,-29427.718247,13293.3135843,,,2743.17158428,,,-34029.9776073,-27430.8126427,-16295.4394443,,12995.8398356,-32271.4713694,-5937.7205644,,,,,-19574.3139187,-56410.7639138,,-40258.9251467,29878.7870366,-39867.6055471
,,,,,,,,,-17420.5965977,,,-21889.7147306,-13672.8648382,,14862.0846743,,,-29429.4998817,12797.1900275,,,3774.91853601,,,-40296.3020208,,-13818.6181242,,11227.6498838,-28367.4151267,-5676.86288543,,,,,-23900.5464968,-56653.9222413,,-50347.2930381,29831.4171986,-39808.4017252
