BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
-142964.265962,-142964.265962,-142964.265962,-142964.265962,-142964.265962,-142964.265962,-142964.265962,-172584.43826,-120168.838423,-139074.945345,-219384.057207,-134236.910009,-140628.428411,-229047.066246,-285928.531924,-145807.423481,-209856.346501,-285928.531924,115607.109476,-317946.041006,-285928.531924,-280931.729473,-202750.143933,-85161.3794476,-285928.531924,-220111.611368,143533.500365,-303576.881005,-155884.573204,-301287.122183,-153209.853796,149595.272539,-263001.306998,-280070.753349,-276113.033693,-257997.251551,138697.89857,51326.4912728,-30481.8489366,233084.467414,-81210.6867532,-48633.3086708
,-19469.0030531,-22163.0532911,-19469.0030531,,-19469.0030531,-22163.0532911,-21868.8188824,-17384.8568147,-22669.7929608,17724.9194862,-19204.2878602,-21789.7585106,-22736.2168325,-38938.0061063,-16656.2705103,-20433.4385457,,-11181.6989069,-37630.3806705,,-32431.5352304,-27879.8086536,-10026.2610036,,-28246.8357106,-20435.9682527,-25890.8398106,-14290.8515269,-17367.2441974,-13878.9506929,17118.7823707,-34718.6804784,-34269.8450823,-30959.0216763,-31817.0250883,18692.9076497,8368.26013378,-3145.81973442,29291.3568982,-10698.9522316,-10774.93661
,-19469.0030531,,-19469.0030531,,,,-18142.1533271,-20784.2507972,-18683.0912063,-18775.0986396,-22285.7228009,-18396.3086744,-21631.6755954,,-17491.8833263,-20285.75141,,-12326.7821823,-29014.9653899,,-31961.9576599,-28482.4494203,-9876.14240566,,-23493.0886127,-20407.93413,-26638.8156279,-18356.8094167,-20928.9182064,-14692.452291,17344.6046947,-31412.3634244,-32172.8654289,-32476.3339225,-30138.8706013,17866.4102704,8007.9135435,-2915.78956498,21754.92877,-10092.2633039,-11603.9167079
,,,,,,,-17879.170206,-14162.5247563,-15457.2457916,-18335.6970198,-17059.1957699,-21696.5224393,-22113.9051682,,-17943.546976,-20752.3649651,,-11403.7108214,-28616.9113327,,,-27533.2076611,-7443.84282434,,-24005.7358729,-20302.4705451,-27391.2823835,-13009.6427326,-15458.2238607,-13256.6352337,9704.28042417,-31729.9734084,-32349.6985548,-23651.4108847,,15294.4890693,9031.52974438,-3887.58401728,22083.6116266,-5131.35862298,-7619.8002146
,,,,,,,-19266.9440771,,-13515.4681223,-22032.2567881,,-19371.0568368,-27379.7766564,,20730.8320143,-29383.9494067,,-14770.3616547,-27300.1629829,,,-27006.9511792,-7227.105715,,-24134.6774121,-20661.1730703,-26684.7341505,-15847.9692967,-17599.2492656,-13579.8001387,14965.9832623,-32156.1042357,-34807.567441,,,17422.8270529,12792.575794,-10572.8833678,23422.0401859,5114.27692473,7068.12879779
,,,,,,,-23419.7343385,,-14997.8229711,-18147.897865,,-16326.6029373,-23114.4487936,,20721.4401288,-795.497379027,,-9980.67653133,-25969.7197463,,,-26201.7009903,-26201.7009903,,-22837.2100747,-19298.8192201,-26641.7974784,-23840.223316,-17141.0423866,-15100.9905371,12538.6115,,-22297.4633107,,,1146.39541655,10812.5222665,-1448.11412463,20280.8040608,-697.66527473,7152.52410064
,,,,,,,-23588.2335601,,-15712.9560452,-20807.9409697,,-15624.7707166,-26668.9187154,,19721.4011079,-27768.8986892,,-10116.9244802,-26063.934728,,,-26173.1997012,,,-22766.5332113,-19838.0325635,-26129.5006251,-20923.7683574,-18141.0838187,-15901.216906,15083.5538825,-8178.18455833,-33163.2098436,,,997.459388543,11030.3427813,-6777.08587396,19684.5821564,-9298.61043875,7550.51717546
,,,,,,,-18814.8222484,,-13376.7344948,-21443.2181068,,-17789.0105915,-23119.3811515,,20795.4645881,,,-15166.5114787,-27433.9095193,,,-27253.6453429,-27253.6453429,,-24279.0686905,-20185.564656,-26498.1528404,-20868.3241973,-17113.7504146,-12883.5862854,12362.8257242,-37706.9992138,-31203.5338728,,,17618.3951013,13092.0238323,-6921.02500164,23305.3275768,-586.838996645,6496.41935245
,,,,,,,-19882.0569146,,-19191.3832213,-24085.5251567,,-21171.2353786,-26997.8164229,,-17071.8688771,,,-13647.2613239,-36448.3492587,,,-30623.3665807,-31593.1086043,,-30156.6504725,-18919.1291077,-33445.7731031,-27900.7237583,-18352.9856411,-15133.0299583,14873.3350956,-40065.0568538,-27591.5549688,,,16662.4536551,9389.39305297,-2894.06037573,31822.4768522,-9266.08855233,7474.58300362
,,,,,,,-24234.3358722,,-20872.0170672,16220.5269928,,-23318.1002748,-19268.8591924,,20864.483858,,,-10003.1773159,-36219.4812136,,,-26021.4768884,,,-29936.7585505,-18866.3119673,-30417.4064232,,-14278.8938532,-16020.2585538,-7447.99201072,,-36840.2316528,,,963.376675592,-8565.77448714,-11786.6935787,24082.2916419,-419.101687654,4039.84444827
