BE0044,BE0045,BE0046,BE0063,BE0064,BE0065,BE0082,BE0161,BE0162,BE0163,BE0180,BE0181,BE0182,BE0199,BR0118,BR0120,BR0121,BR0122,BR0124,BR0125,BR0173,BR0174,BR0176,BR0177,BR0178,BR0179,BR0180,BR0181,BR0229,BR0231,BR0234,BR0235,BR0460,BR0464,BR0515,BR0520,CO0023,CO0024,CO0033,CO0034,CO0043,CO0044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6907.09338336,-2636.26756852,3840.92951561,5002.44952068,-2774.00410139,3866.31826166,6926.35409504,0.0,-16396.9045658,-2916.35853517,0.0,-13404.6278526,-10260.6301775,0.0,-1917.19592191,-15342.6854979,-2432.21311122,0.0,-10212.6801436,-15084.9141506,-10203.5990734,-3223.92377641,8040.15724808,-10260.4187449,-13395.544928,2422.26310657,4007.46623586,3976.94607871,2400.50880736,-5978.57028371,-23067.27591,-5534.65542204,-19628.8559979,-5918.88769511,-23076.4320051
,0.0,0.0,0.0,,0.0,0.0,-5276.04505874,-2886.36057394,4293.36450434,-4314.918803,-2955.29702783,3804.08469339,-5538.65839092,0.0,-15460.9270758,-1997.66356429,,-12454.9928531,-9058.0505037,,-1356.60763014,-14509.2115636,-1491.96476897,,-9332.81406197,-13881.9373328,-8313.41426095,-2214.65994435,-15277.6412806,-8248.20129329,-13225.1341736,2287.26678234,3553.34409181,3402.34319991,2352.57247325,-5502.91619184,-22158.0457578,-4149.09610394,-18309.0048768,-5895.2562271,-22491.0089251
,0.0,,0.0,,,,-5118.63490011,-3121.61034323,3965.69487707,-4278.4915001,-3187.71707512,3748.02343595,-5132.71332242,,-15818.8098209,-1901.55500386,,-12674.9003874,-8785.6829403,,-1334.07931846,-14412.0889568,-1455.18797238,,-9245.38534426,-14161.6799886,-8318.21091932,-2434.85336229,-16153.7760382,-8933.80659059,-13147.7567028,2426.24067709,4003.09063474,3222.92202873,2732.17757451,-5400.39332057,-21818.634174,-3980.72029323,-17598.2986189,-5629.79707649,-22945.326117
,,,,,,,-4934.20060011,-2008.20250174,3941.26190163,-4786.63309593,-1434.679604,4431.6074728,-5823.49992183,,-15963.7785537,-1952.86784639,,-12703.1543635,-9706.61146748,,,-14988.0554865,-1521.46752918,,-8925.02667143,-14928.4716035,-9229.58662454,-2398.2522759,-15562.3936009,-8469.2414227,-11840.8550325,2836.46275426,4076.37781053,-1091.13336394,,-6427.28905935,-22275.7572012,-4292.23580095,-18052.8944137,-5002.63098693,-21558.7896007
,,,,,,,-5488.50263629,,4275.01795803,-6015.48620446,,5139.30467061,-6019.5229757,,-16267.5847155,-1640.09086817,,-11308.5877408,-8428.10285644,,,-15209.8957195,-108.60274693,,-8533.18060738,-13554.6241672,-7448.23199144,3875.26124986,-15999.965665,-9568.5596411,-12908.1827414,48.6282534178,2281.0213583,,,-5702.82125523,-22863.7315517,-4027.47507728,-17879.706221,-6165.99982392,-24001.5093703
,,,,,,,-5349.56720987,,4048.77660344,-5641.85083064,,5082.6989631,-6028.96285586,,-15975.7691513,-15975.7691513,,-11059.3061588,-8372.52254983,,,-15765.7862357,-15765.7862357,,-8668.38093544,-13486.831685,-7360.02536057,-1298.10929317,-15993.7050659,-9822.03613715,-12921.7141335,,-1250.92284648,,,-5488.29342555,-22570.7761252,-5870.884026,-18079.4610105,-6170.1572062,-24078.7017704
,,,,,,,-5511.15673654,,4300.4618946,-6040.91485524,,5132.64143626,-6016.9768305,,-16245.960294,-1664.58508935,,-11285.2757803,-8402.36389085,,,-15220.2129353,,,-8526.14041293,-13553.7441776,-7448.03000954,-2398.00674597,-16003.6898945,-9563.10405992,-12914.6333895,-12914.6333895,2257.47304591,,,-5649.7823575,-22862.790261,-4030.64928097,-17848.846303,-6185.80440784,-24007.4605631
,,,,,,,-5492.53071655,,4291.13611708,-6022.38185631,,5147.49040871,-6020.80763862,,-16264.788018,,,-11304.4926328,-8417.76946144,,,-15217.2732858,-15217.2732858,,-8535.12401039,-13547.6924282,-7441.68982601,-2403.14166755,-16002.0043902,-9578.09210233,-12910.3927101,14.6556744042,2257.5335424,,,-5699.2750821,-22863.0704602,-4026.78099958,-17879.3368404,-6162.02594521,-24019.345856
,,,,,,,-5587.33729897,,4734.31093141,-5219.91322239,,5455.35679425,-6030.9731351,,-15013.8991387,,,-11139.2590433,-8282.81690498,,,-16315.8875409,-87.1180445824,,-9795.11990793,-13201.929792,-7916.93969453,-1763.23480864,-15952.3551574,-9502.70104408,-12859.6332693,14.8590371872,-1713.76206179,,,-5791.70228749,-21474.0380114,-5481.33157673,-18958.3097776,-6198.89585384,-23720.0691972
,,,,,,,-5740.25211758,,5981.92574737,-5933.17088927,,5694.73904829,-5997.05634125,,-16269.5436202,,,-12210.9110719,-9232.22201203,,,-15417.9426588,,,-8689.65266372,-11307.3209585,-8224.59116598,,-15798.9232203,-8785.68462586,-12318.9627526,,12.7543095802,,,-5878.91056286,-23681.2134681,-6133.25503618,-17884.1092236,-6121.06756163,-23865.5177606
