member_ID,cost
BE0060,26.0
BE0062,38.6
BE0064,38.6
BE0070,38.6
BE0071,38.6
BE0072,38.6
BE0094,26.0
BR0001,8.640845096
BR0002,8.089301792
BR0003,8.089301792
BR0004,8.089301792
BR0005,8.640845096
BR0006,8.089301792
BR0009,8.089301792
BR0010,8.089301792
BR0013,8.089301792
BR0014,8.089301792
BR0017,8.089301792
BR0018,8.089301792
BR0027,8.089301792
BR0028,8.089301792
BR0037,8.089301792
BR0038,8.089301792
BR0047,8.089301792
BR0048,8.089301792
BR0057,9.489373256
BR0058,8.640845096
BR0061,8.089301792
BR0062,8.089301792
BR0067,8.089301792
BR0068,8.089301792
BR0070,24.60731664
BR0085,8.089301792
BR0086,8.089301792
BR0087,8.089301792
BR0088,8.089301792
BR0089,8.089301792
BR0090,8.089301792
BR0091,8.089301792
BR0092,8.089301792
BR0093,8.089301792
BR0094,8.089301792
BR0099,8.089301792
BR0100,8.089301792
BR0101,8.089301792
BR0102,8.089301792
BR0103,8.089301792
BR0104,8.089301792
BR0107,8.089301792
BR0108,8.089301792
BR0109,8.089301792
BR0110,8.089301792
BR0111,8.089301792
BR0112,8.089301792
BR0113,8.089301792
BR0114,8.089301792
BR0119,8.089301792
BR0120,8.089301792
BR0123,8.089301792
BR0124,8.089301792
BR0131,8.089301792
BR0132,8.089301792
BR0133,8.089301792
BR0134,8.089301792
BR0137,9.489373256
BR0138,9.489373256
BR0143,8.089301792
BR0144,8.089301792
BR0145,8.089301792
BR0146,8.089301792
BR0147,8.089301792
BR0148,8.089301792
BR0149,8.089301792
BR0150,8.089301792
BR0155,8.089301792
BR0156,8.089301792
BR0159,8.089301792
BR0160,8.089301792
BR0173,8.089301792
BR0174,8.089301792
BR0177,8.089301792
BR0178,8.089301792
BR0179,8.089301792
BR0180,8.089301792
BR0181,8.089301792
BR0182,8.089301792
BR0183,8.089301792
BR0184,8.089301792
BR0185,8.089301792
BR0186,8.089301792
BR0187,8.089301792
BR0188,8.089301792
BR0189,8.089301792
BR0190,8.089301792
BR0191,8.089301792
BR0192,8.089301792
BR0193,8.089301792
BR0194,8.089301792
BR0195,8.089301792
BR0196,8.089301792
BR0197,8.089301792
BR0198,8.089301792
BR0199,8.089301792
BR0200,8.089301792
BR0201,8.089301792
BR0202,8.089301792
BR0203,8.089301792
BR0204,8.089301792
BR0205,8.089301792
BR0206,8.089301792
BR0207,8.089301792
BR0208,8.089301792
BR0211,8.089301792
BR0212,8.089301792
BR0215,8.089301792
BR0216,8.089301792
BR0225,8.089301792
BR0226,8.089301792
BR0235,8.089301792
BR0236,8.089301792
BR0249,8.089301792
BR0250,8.089301792
BR0265,8.089301792
BR0266,8.089301792
BR0269,8.089301792
BR0270,8.089301792
BR0279,8.089301792
BR0280,8.089301792
BR0283,8.089301792
BR0284,8.089301792
BR0285,8.089301792
BR0286,8.089301792
BR0289,8.089301792
BR0290,8.089301792
BR0291,8.089301792
BR0292,8.089301792
BR0293,8.089301792
BR0294,8.089301792
BR0297,8.089301792
BR0298,8.089301792
BR0299,8.089301792
BR0300,8.089301792
BR0301,8.089301792
BR0302,8.089301792
BR0307,8.089301792
BR0308,8.089301792
BR0309,8.089301792
BR0310,8.089301792
BR0311,8.089301792
BR0312,8.089301792
BR0319,8.089301792
BR0320,8.089301792
BR0321,8.089301792
BR0322,8.089301792
BR0323,8.089301792
BR0324,8.089301792
BR0331,8.089301792
BR0332,8.089301792
BR0333,8.089301792
BR0334,8.089301792
BR0335,8.089301792
BR0336,8.089301792
BR0337,8.089301792
BR0338,8.089301792
BR0341,8.089301792
BR0342,8.089301792
BR0343,8.089301792
BR0344,8.089301792
BR0353,8.089301792
BR0354,8.089301792
BR0355,8.089301792
BR0356,8.089301792
BR0357,8.089301792
BR0358,8.089301792
BR0359,8.089301792
BR0360,8.089301792
BR0361,8.089301792
BR0362,8.089301792
BR0363,8.089301792
BR0364,8.089301792
BR0365,8.089301792
BR0366,8.089301792
BR0367,8.089301792
BR0368,8.089301792
BR0373,8.089301792
BR0374,8.089301792
BR0375,8.089301792
BR0376,8.089301792
BR0379,8.089301792
BR0380,8.089301792
BR0382,8.089301792
BR0383,8.089301792
BR0384,8.089301792
BR0397,9.489373256
BR0398,8.089301792
BR0401,8.089301792
BR0402,8.089301792
BR0411,8.089301792
BR0412,8.089301792
BR0413,8.089301792
BR0414,8.089301792
BR0415,8.089301792
BR0416,8.089301792
BR0417,8.089301792
BR0418,8.089301792
CO0001,31.8
CO0002,31.8
CO0003,31.8
CO0004,31.8
CO0005,31.8
CO0006,31.8
CO0007,56.6
CO0008,35.6
CO0009,31.8
CO0010,56.6
CO0011,31.8
CO0012,31.8
CO0013,31.8
CO0014,31.8
CO0015,43.2
CO0016,31.8
CO0017,31.8
CO0018,31.8
CO0022,31.8
CO0023,31.8
CO0024,35.6
CO0025,31.8
CO0026,31.8
CO0027,31.8
CO0028,31.8
CO0029,31.8
CO0030,31.8
CO0031,31.8
CO0032,56.6
CO0033,35.6
CO0034,31.8
CO0035,31.8
CO0036,31.8
CO0037,31.8
CO0038,43.2
CO0039,31.8
CO0040,31.8
CO0041,31.8
CO0042,31.8
CO0043,35.6
CO0044,31.8
CO0045,31.8
CO0046,56.6
