member_ID,start_node,end_node,member_length,member_type
BE0044,P000802,P000902,2000.0,2
BE0045,P000802,P000803,2000.0,2
BE0046,P000902,P000903,2000.0,2
BE0063,P000803,P000903,2000.0,2
BE0064,P000803,P000804,2000.0,2
BE0065,P000903,P000904,2000.0,2
BE0082,P000804,P000904,2000.0,2
BE0161,P010802,P010902,2000.0,2
BE0162,P010802,P010803,2000.0,2
BE0163,P010902,P010903,2000.0,2
BE0180,P010803,P010903,2000.0,2
BE0181,P010803,P010804,2000.0,2
BE0182,P010903,P010904,2000.0,2
BE0199,P010804,P010904,2000.0,2
BR0118,P000802,P000903,2828.43,3
BR0120,P000802,P010902,2828.43,3
BR0121,P000802,P010803,2828.43,3
BR0122,P000902,P000803,2828.43,3
BR0124,P000902,P010802,2828.43,3
BR0125,P000902,P010903,2828.43,3
BR0173,P000803,P000904,2828.43,3
BR0174,P000803,P010802,2828.43,3
BR0176,P000803,P010903,2828.43,3
BR0177,P000803,P010804,2828.43,3
BR0178,P000903,P000804,2828.43,3
BR0179,P000903,P010902,2828.43,3
BR0180,P000903,P010803,2828.43,3
BR0181,P000903,P010904,2828.43,3
BR0229,P000804,P010803,2828.43,3
BR0231,P000804,P010904,2828.43,3
BR0234,P000904,P010903,2828.43,3
BR0235,P000904,P010804,2828.43,3
BR0460,P010802,P010903,2828.43,3
BR0464,P010902,P010803,2828.43,3
BR0515,P010803,P010904,2828.43,3
BR0520,P010903,P010804,2828.43,3
CO0023,P000802,P010802,2000.0,1
CO0024,P000902,P010902,2000.0,1
CO0033,P000803,P010803,2000.0,1
CO0034,P000903,P010903,2000.0,1
CO0043,P000804,P010804,2000.0,1
CO0044,P000904,P010904,2000.0,1
