member_ID,load_inverse
BR0017,1.16754802313e-15
BR0018,1.16085565041e-15
BR0028,4.74244725189e-16
BR0094,1.69905688399e-15
BR0111,5.84141632295e-16
BR0112,5.84141054385e-16
BR0120,1.11760135041e-15
BR0143,6.43795332489e-16
BR0144,6.57098550078e-16
BR0146,1.62594491915e-15
BR0159,1.3267082391e-15
BR0160,2.3010207195e-15
BR0177,3.15959642216e-16
BR0178,3.15965678798e-16
BR0183,1.87065524664e-15
BR0184,2.53487068987e-15
BR0185,2.02596899304e-15
BR0186,2.65893006415e-15
BR0187,7.48325931562e-16
BR0188,7.48325099261e-16
BR0194,1.10770729365e-15
BR0195,1.05460746813e-15
BR0196,1.05963613428e-15
BR0197,4.41753100253e-16
BR0198,4.43005548534e-16
BR0206,1.93376458228e-17
BR0212,1.45559528001e-17
BR0215,2.23318999541e-16
BR0216,1.36663743777e-16
BR0224,1.4939750545e-17
BR0268,1.4711301305e-17
BR0269,1.57595668029e-15
BR0270,1.96015107268e-15
BR0277,7.2614906507e-16
BR0283,2.42905360207e-15
BR0284,2.50062068101e-15
BR0289,5.2498273609e-15
BR0290,9.81045356769e-15
BR0291,1.97498955972e-15
BR0292,2.33047620655e-15
BR0300,8.94712645772e-15
BR0301,3.22602956097e-16
BR0302,3.22596756836e-16
BR0313,7.12000063518e-16
BR0314,7.12000061149e-16
BR0319,1.09436960389e-15
BR0331,1.13590967648e-15
BR0332,1.58797440524e-15
BR0333,9.67746522262e-16
BR0334,9.67747120253e-16
BR0353,1.45106733403e-15
BR0354,1.92637227844e-15
BR0357,2.16043772672e-15
BR0358,1.10877244099e-15
BR0359,1.64252783106e-15
BR0360,1.78790956649e-15
BR0361,1.04274809452e-15
BR0362,6.0500329927e-16
BR0363,1.66213538327e-15
BR0366,4.99388071422e-16
BR0381,9.51268522011e-16
BR0382,1.75405369549e-15
BR0385,3.50000973181e-15
BR0386,4.07529899362e-15
BR0387,1.57198794602e-15
BR0388,8.11670694308e-16
BR0390,8.41173573773e-16
BR0391,2.33465793514e-15
BR0392,2.2705475295e-15
BR0393,3.36571667943e-15
BR0394,1.48007550354e-15
BR0397,1.67311740134e-15
BR0398,1.26007648785e-15
BR0399,6.89721539735e-16
BR0401,7.07479562671e-16
BR0402,7.64188155127e-16
BR0411,4.61970840777e-15
BR0412,8.67480017453e-16
BR0413,9.48330372794e-16
BR0414,5.31838401192e-15
BR0415,1.02690220824e-15
BR0416,5.10650437598e-15
BR0417,4.08676210103e-15
BR0418,1.79737571161e-15
CO0001,8.65488679991e-15
CO0002,8.65488679992e-15
CO0006,2.05778461951e-15
CO0007,2.76522385462e-15
CO0008,3.67518288595e-15
CO0009,3.60578068375e-15
CO0010,5.90921889363e-15
CO0011,6.15735151001e-15
CO0012,7.27434866966e-15
CO0013,6.26273156418e-15
CO0015,2.44483302734e-15
CO0016,3.81037571431e-15
CO0017,3.11093789616e-15
CO0022,4.79130887529e-15
CO0024,2.52654652055e-15
CO0026,5.04445657056e-15
CO0027,5.04445657056e-15
CO0031,3.10425486748e-15
CO0032,3.94774334048e-15
CO0033,5.68507906514e-15
CO0034,5.78596682088e-15
CO0035,6.47639631352e-15
CO0036,5.57750067348e-15
CO0037,6.35441629572e-15
CO0038,5.9197559384e-15
CO0039,5.59395605955e-15
CO0040,5.63293657174e-15
CO0041,5.30769449061e-15
CO0042,5.58862090319e-15
CO0043,5.62851929292e-15
CO0045,5.99992170523e-15
CO0046,6.29382963226e-15
