member_ID,cross_section
BE0001,W100X19.3
BE0002,W100X19.3
BE0003,W100X19.3
BE0004,W100X19.3
BE0005,W150X13
BE0006,W100X19.3
BE0008,W100X19.3
BE0009,W150X13
BE0010,W100X19.3
BE0011,W150X13
BE0012,W100X19.3
BE0013,W150X13
BE0014,W100X19.3
BE0015,W150X13
BE0016,W100X19.3
BE0017,W100X19.3
BE0018,W100X19.3
BE0019,W100X19.3
BE0020,W100X19.3
BE0021,W100X19.3
BE0022,W150X13
BE0023,W100X19.3
BE0024,W150X13
BE0025,W150X13
BE0026,W150X13
BE0027,W100X19.3
BE0028,W150X13
BE0029,W100X19.3
BE0030,W150X13
BE0031,W100X19.3
BE0032,W100X19.3
BE0033,W100X19.3
BE0034,W100X19.3
BE0035,W100X19.3
BE0036,W100X19.3
BE0037,W100X19.3
BE0038,W100X19.3
BE0039,W100X19.3
BE0040,W100X19.3
BE0041,W150X13
BE0042,W100X19.3
BE0043,W150X13
BE0044,W100X19.3
BE0045,W150X13
BE0046,W100X19.3
BE0047,W150X13
BE0048,W100X19.3
BE0049,W150X13
BE0050,W100X19.3
BE0051,W150X13
BE0052,W150X13
BE0053,W150X13
BE0054,W100X19.3
BE0055,W100X19.3
BE0056,W100X19.3
BE0057,W100X19.3
BE0058,W150X13
BE0059,W100X19.3
BE0060,W150X13
BE0061,W150X13
BE0062,W150X13
BE0063,W100X19.3
BE0064,W150X13
BE0065,W150X13
BE0066,W150X13
BE0067,W150X13
BE0068,W150X13
BE0069,W100X19.3
BE0070,W100X19.3
BE0071,W100X19.3
BE0072,W100X19.3
BE0073,W150X13
BE0074,W150X13
BE0075,W150X13
BE0076,W150X13
BE0077,W100X19.3
BE0078,W150X13
BE0079,W100X19.3
BE0080,W150X13
BE0081,W100X19.3
BE0082,W150X13
BE0083,W150X13
BE0084,W150X13
BE0085,W150X13
BE0086,W150X13
BE0087,W150X13
BE0088,W150X13
BE0089,W150X13
BE0090,W150X13
BE0091,W150X13
BE0092,W150X13
BE0093,W150X13
BE0094,W150X13
BE0095,W150X13
BE0096,W150X13
BE0097,W150X13
BE0098,W150X13
BR0001,HSS101.6X3.2
BR0002,HSS101.6X3.2
