member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BE0044,P000802,P000902,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0045,P000802,P000803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0046,P000902,P000903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0063,P000803,P000903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0064,P000803,P000804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0065,P000903,P000904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0082,P000804,P000904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0161,P010802,P010902,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0162,P010802,P010803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0163,P010902,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0180,P010803,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0181,P010803,P010804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0182,P010903,P010904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BE0199,P010804,P010904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0118,P000802,P000903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0120,P000802,P010902,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0121,P000802,P010803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0122,P000902,P000803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0124,P000902,P010802,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0125,P000902,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0173,P000803,P000904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0174,P000803,P010802,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0176,P000803,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0177,P000803,P010804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0178,P000903,P000804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0179,P000903,P010902,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0180,P000903,P010803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0181,P000903,P010904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0229,P000804,P010803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0231,P000804,P010904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0234,P000904,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0235,P000904,P010804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0460,P010802,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0464,P010902,P010803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0515,P010803,P010904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
BR0520,P010903,P010804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
CO0023,P000802,P010802,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
CO0024,P000902,P010902,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
CO0033,P000803,P010803,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
CO0034,P000903,P010903,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
CO0043,P000804,P010804,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
CO0044,P000904,P010904,HSS177.8X177.8X6.4,True,True,True,True,True,True,True,True,True,False,True,True,True
