node_ID,X,Y,Z,member_ID,ground?,load_bearing?,U1,U2,U3,R1,R2,R3,remove?,add_back?
P000000,0,0,0,CO0001,True,False,True,True,True,True,True,True,False,False
P000001,3952,0,0,0,True,False,True,True,True,True,True,True,False,False
P000002,7904,0,0,CO0013,True,False,True,True,True,True,True,True,False,False
P000003,11856,0,0,0,True,False,True,True,True,True,True,True,False,False
P000004,15808,0,0,CO0025,True,False,True,True,True,True,True,True,False,False
P000005,19760,0,0,0,True,False,True,True,True,True,True,True,False,False
P000006,23712,0,0,CO0037,True,False,True,True,True,True,True,True,False,False
P010000,0,0,3952,0,False,True,False,False,False,False,False,False,False,False
P010001,3952,0,3952,0,False,False,False,False,False,False,False,False,False,False
P010002,7904,0,3952,0,False,False,False,False,False,False,False,False,False,False
P010003,11856,0,3952,0,False,False,False,False,False,False,False,False,False,False
P010004,15808,0,3952,0,False,False,False,False,False,False,False,False,False,False
P010005,19760,0,3952,0,False,False,False,False,False,False,False,False,False,False
P010006,23712,0,3952,0,False,True,False,False,False,False,False,False,False,False
P020000,0,0,7904,0,False,True,False,False,False,False,False,False,False,False
P020001,3952,0,7904,0,False,False,False,False,False,False,False,False,False,False
P020002,7904,0,7904,0,False,False,False,False,False,False,False,False,False,False
P020003,11856,0,7904,0,False,False,False,False,False,False,False,False,False,False
P020004,15808,0,7904,0,False,False,False,False,False,False,False,False,False,False
P020005,19760,0,7904,0,False,False,False,False,False,False,False,False,False,False
P020006,23712,0,7904,0,False,True,False,False,False,False,False,False,False,False
P030000,0,0,11856,0,False,True,False,False,False,False,False,False,False,False
P030001,3952,0,11856,0,False,False,False,False,False,False,False,False,False,False
P030002,7904,0,11856,0,False,False,False,False,False,False,False,False,False,False
P030003,11856,0,11856,0,False,False,False,False,False,False,False,False,False,False
P030004,15808,0,11856,0,False,False,False,False,False,False,False,False,False,False
P030005,19760,0,11856,0,False,False,False,False,False,False,False,False,False,False
P030006,23712,0,11856,0,False,True,False,False,False,False,False,False,False,False
P040000,0,0,15808,0,False,True,False,False,False,False,False,False,False,False
P040001,3952,0,15808,0,False,False,False,False,False,False,False,False,False,False
P040002,7904,0,15808,0,False,False,False,False,False,False,False,False,False,False
P040003,11856,0,15808,0,False,False,False,False,False,False,False,False,False,False
P040004,15808,0,15808,0,False,False,False,False,False,False,False,False,False,False
P040005,19760,0,15808,0,False,False,False,False,False,False,False,False,False,False
P040006,23712,0,15808,0,False,True,False,False,False,False,False,False,False,False
P050000,0,0,19760,0,False,True,False,False,False,False,False,False,False,False
P050001,3952,0,19760,0,False,False,False,False,False,False,False,False,False,False
P050002,7904,0,19760,0,False,False,False,False,False,False,False,False,False,False
P050003,11856,0,19760,0,False,False,False,False,False,False,False,False,False,False
P050004,15808,0,19760,0,False,False,False,False,False,False,False,False,False,False
P050005,19760,0,19760,0,False,False,False,False,False,False,False,False,False,False
P050006,23712,0,19760,0,False,True,False,False,False,False,False,False,False,False
P060000,0,0,23712,0,False,True,False,False,False,False,False,False,False,False
P060001,3952,0,23712,0,False,False,False,False,False,False,False,False,False,False
P060002,7904,0,23712,0,False,False,False,False,False,False,False,False,False,False
P060003,11856,0,23712,0,False,False,False,False,False,False,False,False,False,False
P060004,15808,0,23712,0,False,False,False,False,False,False,False,False,False,False
P060005,19760,0,23712,0,False,False,False,False,False,False,False,False,False,False
P060006,23712,0,23712,0,False,True,False,False,False,False,False,False,False,False
P070000,0,0,27664,0,False,True,False,False,False,False,False,False,False,False
P070001,3952,0,27664,0,False,False,False,False,False,False,False,False,False,False
P070002,7904,0,27664,0,False,False,False,False,False,False,False,False,False,False
P070003,11856,0,27664,0,False,False,False,False,False,False,False,False,False,False
P070004,15808,0,27664,0,False,False,False,False,False,False,False,False,False,False
P070005,19760,0,27664,0,False,False,False,False,False,False,False,False,False,False
P070006,23712,0,27664,0,False,True,False,False,False,False,False,False,False,False
P080000,0,0,31616,0,False,True,False,False,False,False,False,False,False,False
P080001,3952,0,31616,0,False,False,False,False,False,False,False,False,False,False
P080002,7904,0,31616,0,False,False,False,False,False,False,False,False,False,False
P080003,11856,0,31616,0,False,False,False,False,False,False,False,False,False,False
P080004,15808,0,31616,0,False,False,False,False,False,False,False,False,False,False
P080005,19760,0,31616,0,False,False,False,False,False,False,False,False,False,False
P080006,23712,0,31616,0,False,True,False,False,False,False,False,False,False,False
P090000,0,0,35568,0,False,True,False,False,False,False,False,False,False,False
P090001,3952,0,35568,0,False,False,False,False,False,False,False,False,False,False
P090002,7904,0,35568,0,False,False,False,False,False,False,False,False,False,False
P090003,11856,0,35568,0,False,False,False,False,False,False,False,False,False,False
P090004,15808,0,35568,0,False,False,False,False,False,False,False,False,False,False
P090005,19760,0,35568,0,False,False,False,False,False,False,False,False,False,False
P090006,23712,0,35568,0,False,True,False,False,False,False,False,False,False,False
P100000,0,0,39520,0,False,True,False,False,False,False,False,False,False,False
P100001,3952,0,39520,0,False,False,False,False,False,False,False,False,False,False
P100002,7904,0,39520,0,False,False,False,False,False,False,False,False,False,False
P100003,11856,0,39520,0,False,False,False,False,False,False,False,False,False,False
P100004,15808,0,39520,0,False,False,False,False,False,False,False,False,False,False
P100005,19760,0,39520,0,False,False,False,False,False,False,False,False,False,False
P100006,23712,0,39520,0,False,True,False,False,False,False,False,False,False,False
P110000,0,0,43472,0,False,True,False,False,False,False,False,False,False,False
P110001,3952,0,43472,0,False,False,False,False,False,False,False,False,False,False
P110002,7904,0,43472,0,False,False,False,False,False,False,False,False,False,False
P110003,11856,0,43472,0,False,False,False,False,False,False,False,False,False,False
P110004,15808,0,43472,0,False,False,False,False,False,False,False,False,False,False
P110005,19760,0,43472,0,False,False,False,False,False,False,False,False,False,False
P110006,23712,0,43472,0,False,True,False,False,False,False,False,False,False,False
P120000,0,0,47424,0,False,True,False,False,False,False,False,False,False,False
P120001,3952,0,47424,0,False,False,False,False,False,False,False,False,False,False
P120002,7904,0,47424,0,False,False,False,False,False,False,False,False,False,False
P120003,11856,0,47424,0,False,False,False,False,False,False,False,False,False,False
