member_ID,start_node,end_node,member_length,member_type
CO0001,P000000,P010000,3952.0,1
CO0002,P010000,P020000,3952.0,1
CO0003,P020000,P030000,3952.0,1
CO0004,P030000,P040000,3952.0,1
CO0005,P040000,P050000,3952.0,1
CO0006,P050000,P060000,3952.0,1
CO0007,P060000,P070000,3952.0,1
CO0008,P070000,P080000,3952.0,1
CO0009,P080000,P090000,3952.0,1
CO0010,P090000,P100000,3952.0,1
CO0011,P100000,P110000,3952.0,1
CO0012,P110000,P120000,3952.0,1
CO0013,P000002,P010002,3952.0,1
CO0014,P010002,P020002,3952.0,1
CO0015,P020002,P030002,3952.0,1
CO0016,P030002,P040002,3952.0,1
CO0017,P040002,P050002,3952.0,1
CO0018,P050002,P060002,3952.0,1
CO0019,P060002,P070002,3952.0,1
CO0020,P070002,P080002,3952.0,1
CO0021,P080002,P090002,3952.0,1
CO0022,P090002,P100002,3952.0,1
CO0023,P100002,P110002,3952.0,1
CO0024,P110002,P120002,3952.0,1
CO0025,P000004,P010004,3952.0,1
CO0026,P010004,P020004,3952.0,1
CO0027,P020004,P030004,3952.0,1
CO0028,P030004,P040004,3952.0,1
CO0029,P040004,P050004,3952.0,1
CO0030,P050004,P060004,3952.0,1
CO0031,P060004,P070004,3952.0,1
CO0032,P070004,P080004,3952.0,1
CO0033,P080004,P090004,3952.0,1
CO0034,P090004,P100004,3952.0,1
CO0035,P100004,P110004,3952.0,1
CO0036,P110004,P120004,3952.0,1
CO0037,P000006,P010006,3952.0,1
CO0038,P010006,P020006,3952.0,1
CO0039,P020006,P030006,3952.0,1
CO0040,P030006,P040006,3952.0,1
CO0041,P040006,P050006,3952.0,1
CO0042,P050006,P060006,3952.0,1
CO0043,P060006,P070006,3952.0,1
CO0044,P070006,P080006,3952.0,1
CO0045,P080006,P090006,3952.0,1
CO0046,P090006,P100006,3952.0,1
CO0047,P100006,P110006,3952.0,1
CO0048,P110006,P120006,3952.0,1
BE0001,P010000,P010001,7904.0,2
BE0002,P020000,P020001,7904.0,2
BE0003,P030000,P030001,7904.0,2
BE0004,P040000,P040001,7904.0,2
BE0005,P050000,P050001,7904.0,2
BE0006,P060000,P060001,7904.0,2
BE0007,P070000,P070001,7904.0,2
BE0008,P080000,P080001,7904.0,2
BE0009,P090000,P090001,7904.0,2
BE0010,P100000,P100001,7904.0,2
BE0011,P110000,P110001,7904.0,2
BE0012,P120000,P120001,7904.0,2
BE0013,P010001,P010002,7904.0,2
BE0014,P020001,P020002,7904.0,2
BE0015,P030001,P030002,7904.0,2
BE0016,P040001,P040002,7904.0,2
BE0017,P050001,P050002,7904.0,2
BE0018,P060001,P060002,7904.0,2
BE0019,P070001,P070002,7904.0,2
BE0020,P080001,P080002,7904.0,2
BE0021,P090001,P090002,7904.0,2
BE0022,P100001,P100002,7904.0,2
BE0023,P110001,P110002,7904.0,2
BE0024,P120001,P120002,7904.0,2
