node_ID,x_coord,y_coord,z_coord,isSuport
P000000,0,0,0,1
P000001,3952,0,0,1
P000002,7904,0,0,1
P000003,11856,0,0,1
P000004,15808,0,0,1
P000005,19760,0,0,1
P000006,23712,0,0,1
P010000,0,0,3952,0
P010001,3952,0,3952,0
P010002,7904,0,3952,0
P010003,11856,0,3952,0
P010004,15808,0,3952,0
P010005,19760,0,3952,0
P010006,23712,0,3952,0
P020000,0,0,7904,0
P020001,3952,0,7904,0
P020002,7904,0,7904,0
P020003,11856,0,7904,0
P020004,15808,0,7904,0
P020005,19760,0,7904,0
P020006,23712,0,7904,0
P030000,0,0,11856,0
P030001,3952,0,11856,0
P030002,7904,0,11856,0
P030003,11856,0,11856,0
P030004,15808,0,11856,0
P030005,19760,0,11856,0
P030006,23712,0,11856,0
P040000,0,0,15808,0
P040001,3952,0,15808,0
P040002,7904,0,15808,0
P040003,11856,0,15808,0
P040004,15808,0,15808,0
P040005,19760,0,15808,0
P040006,23712,0,15808,0
P050000,0,0,19760,0
P050001,3952,0,19760,0
P050002,7904,0,19760,0
P050003,11856,0,19760,0
P050004,15808,0,19760,0
P050005,19760,0,19760,0
P050006,23712,0,19760,0
P060000,0,0,23712,0
P060001,3952,0,23712,0
P060002,7904,0,23712,0
P060003,11856,0,23712,0
P060004,15808,0,23712,0
P060005,19760,0,23712,0
P060006,23712,0,23712,0
P070000,0,0,27664,0
P070001,3952,0,27664,0
P070002,7904,0,27664,0
P070003,11856,0,27664,0
P070004,15808,0,27664,0
P070005,19760,0,27664,0
P070006,23712,0,27664,0
P080000,0,0,31616,0
P080001,3952,0,31616,0
P080002,7904,0,31616,0
P080003,11856,0,31616,0
P080004,15808,0,31616,0
P080005,19760,0,31616,0
P080006,23712,0,31616,0
P090000,0,0,35568,0
P090001,3952,0,35568,0
P090002,7904,0,35568,0
P090003,11856,0,35568,0
P090004,15808,0,35568,0
P090005,19760,0,35568,0
P090006,23712,0,35568,0
P100000,0,0,39520,0
P100001,3952,0,39520,0
P100002,7904,0,39520,0
P100003,11856,0,39520,0
P100004,15808,0,39520,0
P100005,19760,0,39520,0
P100006,23712,0,39520,0
P110000,0,0,43472,0
P110001,3952,0,43472,0
P110002,7904,0,43472,0
P110003,11856,0,43472,0
P110004,15808,0,43472,0
P110005,19760,0,43472,0
P110006,23712,0,43472,0
P120000,0,0,47424,0
P120001,3952,0,47424,0
P120002,7904,0,47424,0
P120003,11856,0,47424,0
P120004,15808,0,47424,0
P120005,19760,0,47424,0
P120006,23712,0,47424,0
