member_ID,start_node,end_node,size,PI,V2I,V3I,TI,PJ,V2J,V3J,TJ,M2I,M3I,M2J,M3J,add_back? 
CO0001,P001115,P011115,HSS50.8X50.8X3.2,True,True,True,True,True,True,True,True,True,True,True,True,True
BE0001,P001115,P001116,W100X19.3,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0001,P001115,X00111502,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0002,P011116,X00111502,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
CO0002,P001116,P011116,HSS50.8X50.8X3.2,True,True,True,True,True,True,True,True,True,True,True,True,True
BE0002,P001116,P001117,W100X19.3,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0003,P001116,X00111606,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0004,P011117,X00111606,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0005,P001116,X00111502,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0006,P011115,X00111502,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0007,P001116,X00111610,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0008,P001217,X00111610,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
CO0003,P001117,P011117,HSS50.8X50.8X3.2,True,True,True,True,True,True,True,True,True,True,True,True,True
BE0003,P001117,P001217,W100X19.3,True,True,True,True,True,True,True,True,True,True,True,True,True
BE0004,P001117,P001118,W100X19.3,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0009,P001117,X00111715,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0010,P011217,X00111715,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0011,P001117,X00111717,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0012,P011118,X00111717,HSS42.2X3.6,True,True,True,True,True,True,True,True,True,True,True,True,True
