member_ID,start_node,end_node,member_length,member_type
CO0001,P001115,P011115,2000,1
BE0001,P001115,P001116,2000,2
BR0001,P001115,X00111502,1414.2136,3
BR0002,P011116,X00111502,1414.2136,3
CO0002,P001116,P011116,2000,1
BE0002,P001116,P001117,2000,2
BR0003,P001116,X00111606,1414.2136,3
BR0004,P011117,X00111606,1414.2136,3
BR0005,P001116,X00111502,1414.2136,3
BR0006,P011115,X00111502,1414.2136,3
BR0007,P001116,X00111610,1414.2136,3
BR0008,P001217,X00111610,1414.2136,3
CO0003,P001117,P011117,2000,1
BE0003,P001117,P001217,2000,2
BE0004,P001117,P001118,2000,2
BR0009,P001117,X00111715,1414.2136,3
BR0010,P011217,X00111715,1414.2136,3
BR0011,P001117,X00111717,1414.2136,3
BR0012,P011118,X00111717,1414.2136,3
BR0013,P001117,X00111606,1414.2136,3
BR0014,P011116,X00111606,1414.2136,3
BR0015,P001117,X00111721,1414.2136,3
BR0016,P001218,X00111721,1414.2136,3
CO0004,P001118,P011118,2000,1
BE0005,P001118,P001218,2000,2
BE0006,P001118,P001119,2000,2
BR0017,P001118,X00111826,1414.2136,3
BR0018,P011218,X00111826,1414.2136,3
BR0019,P001118,X00111828,1414.2136,3
BR0020,P011119,X00111828,1414.2136,3
BR0021,P001118,X00111717,1414.2136,3
BR0022,P011117,X00111717,1414.2136,3
BR0023,P001118,X00111832,1414.2136,3
BR0024,P001219,X00111832,1414.2136,3
BR0025,P001118,X00111721,1414.2136,3
BR0026,P001217,X00111721,1414.2136,3
CO0005,P001119,P011119,2000,1
BE0007,P001119,P001219,2000,2
BE0008,P001119,P001120,2000,2
BR0027,P001119,X00111939,1414.2136,3
BR0028,P011219,X00111939,1414.2136,3
BR0029,P001119,X00111941,1414.2136,3
BR0030,P011120,X00111941,1414.2136,3
BR0031,P001119,X00111828,1414.2136,3
BR0032,P011118,X00111828,1414.2136,3
BR0033,P001119,X00111945,1414.2136,3
BR0034,P001220,X00111945,1414.2136,3
BR0035,P001119,X00111832,1414.2136,3
BR0036,P001218,X00111832,1414.2136,3
CO0006,P001120,P011120,2000,1
BE0009,P001120,P001220,2000,2
BE0010,P001120,P001121,2000,2
BR0037,P001120,X00112052,1414.2136,3
BR0038,P011220,X00112052,1414.2136,3
BR0039,P001120,X00112054,1414.2136,3
BR0040,P011121,X00112054,1414.2136,3
BR0041,P001120,X00111941,1414.2136,3
BR0042,P011119,X00111941,1414.2136,3
BR0043,P001120,X00112058,1414.2136,3
BR0044,P001221,X00112058,1414.2136,3
BR0045,P001120,X00111945,1414.2136,3
BR0046,P001219,X00111945,1414.2136,3
CO0007,P001121,P011121,2000,1
BE0011,P001121,P001221,2000,2
BE0012,P001121,P001122,2000,2
BR0047,P001121,X00112165,1414.2136,3
BR0048,P011221,X00112165,1414.2136,3
BR0049,P001121,X00112167,1414.2136,3
BR0050,P011122,X00112167,1414.2136,3
BR0051,P001121,X00112054,1414.2136,3
BR0052,P011120,X00112054,1414.2136,3
BR0053,P001121,X00112171,1414.2136,3
BR0054,P001222,X00112171,1414.2136,3
BR0055,P001121,X00112058,1414.2136,3
BR0056,P001220,X00112058,1414.2136,3
CO0008,P001122,P011122,2000,1
BE0013,P001122,P001222,2000,2
BE0014,P001122,P001123,2000,2
BR0057,P001122,X00112278,1414.2136,3
BR0058,P011222,X00112278,1414.2136,3
BR0059,P001122,X00112280,1414.2136,3
BR0060,P011123,X00112280,1414.2136,3
BR0061,P001122,X00112167,1414.2136,3
BR0062,P011121,X00112167,1414.2136,3
BR0063,P001122,X00112284,1414.2136,3
BR0064,P001223,X00112284,1414.2136,3
BR0065,P001122,X00112171,1414.2136,3
BR0066,P001221,X00112171,1414.2136,3
CO0009,P001123,P011123,2000,1
BE0015,P001123,P001223,2000,2
BE0016,P001123,P001124,2000,2
BR0067,P001123,X00112391,1414.2136,3
BR0068,P011223,X00112391,1414.2136,3
BR0069,P001123,X00112393,1414.2136,3
BR0070,P011124,X00112393,1414.2136,3
BR0071,P001123,X00112280,1414.2136,3
BR0072,P011122,X00112280,1414.2136,3
BR0073,P001123,X00112397,1414.2136,3
BR0074,P001224,X00112397,1414.2136,3
BR0075,P001123,X00112284,1414.2136,3
BR0076,P001222,X00112284,1414.2136,3
CO0010,P001124,P011124,2000,1
BE0017,P001124,P001224,2000,2
BR0077,P001124,X001124103,1414.2136,3
BR0078,P011224,X001124103,1414.2136,3
BR0079,P001124,X00112393,1414.2136,3
BR0080,P011123,X00112393,1414.2136,3
BR0081,P001124,X001124107,1414.2136,3
BR0082,P001225,X001124107,1414.2136,3
BR0083,P001124,X00112397,1414.2136,3
BR0084,P001223,X00112397,1414.2136,3
CO0011,P001217,P011217,2000,1
BE0018,P001217,P001218,2000,2
BR0085,P001217,X001217113,1414.2136,3
BR0086,P011218,X001217113,1414.2136,3
BR0087,P001217,X00111715,1414.2136,3
BR0088,P011117,X00111715,1414.2136,3
CO0012,P001218,P011218,2000,1
BE0019,P001218,P001219,2000,2
BR0089,P001218,X001218119,1414.2136,3
BR0090,P011219,X001218119,1414.2136,3
BR0091,P001218,X001217113,1414.2136,3
BR0092,P011217,X001217113,1414.2136,3
BR0093,P001218,X00111826,1414.2136,3
BR0094,P011118,X00111826,1414.2136,3
BR0095,P001218,X001218125,1414.2136,3
BR0096,P001319,X001218125,1414.2136,3
CO0013,P001219,P011219,2000,1
BE0020,P001219,P001319,2000,2
BE0021,P001219,P001220,2000,2
BR0097,P001219,X001219130,1414.2136,3
BR0098,P011319,X001219130,1414.2136,3
BR0099,P001219,X001219132,1414.2136,3
BR0100,P011220,X001219132,1414.2136,3
BR0101,P001219,X001218119,1414.2136,3
BR0102,P011218,X001218119,1414.2136,3
BR0103,P001219,X00111939,1414.2136,3
BR0104,P011119,X00111939,1414.2136,3
BR0105,P001219,X001219138,1414.2136,3
BR0106,P001320,X001219138,1414.2136,3
CO0014,P001220,P011220,2000,1
BE0022,P001220,P001320,2000,2
BE0023,P001220,P001221,2000,2
BR0107,P001220,X001220143,1414.2136,3
BR0108,P011320,X001220143,1414.2136,3
BR0109,P001220,X001220145,1414.2136,3
BR0110,P011221,X001220145,1414.2136,3
BR0111,P001220,X001219132,1414.2136,3
BR0112,P011219,X001219132,1414.2136,3
BR0113,P001220,X00112052,1414.2136,3
BR0114,P011120,X00112052,1414.2136,3
BR0115,P001220,X001220151,1414.2136,3
BR0116,P001321,X001220151,1414.2136,3
BR0117,P001220,X001219138,1414.2136,3
BR0118,P001319,X001219138,1414.2136,3
CO0015,P001221,P011221,2000,1
BE0024,P001221,P001321,2000,2
BE0025,P001221,P001222,2000,2
BR0119,P001221,X001221158,1414.2136,3
BR0120,P011321,X001221158,1414.2136,3
BR0121,P001221,X001221160,1414.2136,3
BR0122,P011222,X001221160,1414.2136,3
BR0123,P001221,X001220145,1414.2136,3
BR0124,P011220,X001220145,1414.2136,3
BR0125,P001221,X00112165,1414.2136,3
BR0126,P011121,X00112165,1414.2136,3
BR0127,P001221,X001221166,1414.2136,3
BR0128,P001322,X001221166,1414.2136,3
BR0129,P001221,X001220151,1414.2136,3
BR0130,P001320,X001220151,1414.2136,3
CO0016,P001222,P011222,2000,1
BE0026,P001222,P001322,2000,2
BE0027,P001222,P001223,2000,2
BR0131,P001222,X001222173,1414.2136,3
BR0132,P011322,X001222173,1414.2136,3
BR0133,P001222,X001222175,1414.2136,3
BR0134,P011223,X001222175,1414.2136,3
BR0135,P001222,X001221160,1414.2136,3
BR0136,P011221,X001221160,1414.2136,3
BR0137,P001222,X00112278,1414.2136,3
BR0138,P011122,X00112278,1414.2136,3
BR0139,P001222,X001222181,1414.2136,3
BR0140,P001323,X001222181,1414.2136,3
BR0141,P001222,X001221166,1414.2136,3
BR0142,P001321,X001221166,1414.2136,3
CO0017,P001223,P011223,2000,1
BE0028,P001223,P001323,2000,2
BE0029,P001223,P001224,2000,2
BR0143,P001223,X001223188,1414.2136,3
BR0144,P011323,X001223188,1414.2136,3
BR0145,P001223,X001223190,1414.2136,3
BR0146,P011224,X001223190,1414.2136,3
BR0147,P001223,X001222175,1414.2136,3
BR0148,P011222,X001222175,1414.2136,3
BR0149,P001223,X00112391,1414.2136,3
BR0150,P011123,X00112391,1414.2136,3
BR0151,P001223,X001223196,1414.2136,3
BR0152,P001324,X001223196,1414.2136,3
BR0153,P001223,X001222181,1414.2136,3
BR0154,P001322,X001222181,1414.2136,3
CO0018,P001224,P011224,2000,1
BE0030,P001224,P001324,2000,2
BE0031,P001224,P001225,2000,2
BR0155,P001224,X001224203,1414.2136,3
BR0156,P011324,X001224203,1414.2136,3
BR0157,P001224,X001224205,1414.2136,3
BR0158,P011225,X001224205,1414.2136,3
BR0159,P001224,X001223190,1414.2136,3
BR0160,P011223,X001223190,1414.2136,3
BR0161,P001224,X001124103,1414.2136,3
BR0162,P011124,X001124103,1414.2136,3
BR0163,P001224,X001223196,1414.2136,3
BR0164,P001323,X001223196,1414.2136,3
CO0019,P001225,P011225,2000,1
BR0165,P001225,X001224205,1414.2136,3
BR0166,P011224,X001224205,1414.2136,3
BR0167,P001225,X001225216,1414.2136,3
BR0168,P001324,X001225216,1414.2136,3
CO0020,P001319,P011319,2000,1
BE0032,P001319,P001320,2000,2
BR0169,P001319,X001319220,1414.2136,3
BR0170,P011320,X001319220,1414.2136,3
BR0171,P001319,X001219130,1414.2136,3
BR0172,P011219,X001219130,1414.2136,3
CO0021,P001320,P011320,2000,1
BE0033,P001320,P001321,2000,2
BR0173,P001320,X001320226,1414.2136,3
BR0174,P011321,X001320226,1414.2136,3
BR0175,P001320,X001319220,1414.2136,3
BR0176,P011319,X001319220,1414.2136,3
BR0177,P001320,X001220143,1414.2136,3
BR0178,P011220,X001220143,1414.2136,3
CO0022,P001321,P011321,2000,1
BE0034,P001321,P001322,2000,2
BR0179,P001321,X001321234,1414.2136,3
BR0180,P011322,X001321234,1414.2136,3
BR0181,P001321,X001320226,1414.2136,3
BR0182,P011320,X001320226,1414.2136,3
BR0183,P001321,X001221158,1414.2136,3
BR0184,P011221,X001221158,1414.2136,3
CO0023,P001322,P011322,2000,1
BE0035,P001322,P001323,2000,2
BR0185,P001322,X001322242,1414.2136,3
BR0186,P011323,X001322242,1414.2136,3
BR0187,P001322,X001321234,1414.2136,3
BR0188,P011321,X001321234,1414.2136,3
BR0189,P001322,X001222173,1414.2136,3
BR0190,P011222,X001222173,1414.2136,3
CO0024,P001323,P011323,2000,1
BE0036,P001323,P001324,2000,2
BR0191,P001323,X001323250,1414.2136,3
BR0192,P011324,X001323250,1414.2136,3
BR0193,P001323,X001322242,1414.2136,3
BR0194,P011322,X001322242,1414.2136,3
BR0195,P001323,X001223188,1414.2136,3
BR0196,P011223,X001223188,1414.2136,3
CO0025,P001324,P011324,2000,1
BR0197,P001324,X001323250,1414.2136,3
BR0198,P011323,X001323250,1414.2136,3
BR0199,P001324,X001224203,1414.2136,3
BR0200,P011224,X001224203,1414.2136,3
CO0026,P011115,P021115,2000,1
BE0037,P011115,P011116,2000,2
BR0201,P011115,X011115263,1414.2136,3
BR0202,P021116,X011115263,1414.2136,3
CO0027,P011116,P021116,2000,1
BE0038,P011116,P011117,2000,2
BR0203,P011116,X011116267,1414.2136,3
BR0204,P021117,X011116267,1414.2136,3
BR0205,P011116,X011115263,1414.2136,3
BR0206,P021115,X011115263,1414.2136,3
BR0207,P011116,X011116271,1414.2136,3
BR0208,P011217,X011116271,1414.2136,3
CO0028,P011117,P021117,2000,1
BE0039,P011117,P011217,2000,2
BE0040,P011117,P011118,2000,2
BR0209,P011117,X011117276,1414.2136,3
BR0210,P021118,X011117276,1414.2136,3
BR0211,P011117,X011116267,1414.2136,3
BR0212,P021116,X011116267,1414.2136,3
BR0213,P011117,X011117280,1414.2136,3
BR0214,P011218,X011117280,1414.2136,3
CO0029,P011118,P021118,2000,1
BE0041,P011118,P011218,2000,2
BE0042,P011118,P011119,2000,2
BR0215,P011118,X011118285,1414.2136,3
BR0216,P021218,X011118285,1414.2136,3
BR0217,P011118,X011118287,1414.2136,3
BR0218,P021119,X011118287,1414.2136,3
BR0219,P011118,X011117276,1414.2136,3
BR0220,P021117,X011117276,1414.2136,3
BR0221,P011118,X011118291,1414.2136,3
BR0222,P011219,X011118291,1414.2136,3
BR0223,P011118,X011117280,1414.2136,3
BR0224,P011217,X011117280,1414.2136,3
CO0030,P011119,P021119,2000,1
