Type	AISC_Manual_Label	W
W	W460X464	464
W	W460X421	421
W	W460X384	384
W	W460X349	349
W	W460X315	315
W	W460X286	286
W	W460X260	260
W	W460X235	235
W	W460X213	213
W	W460X193	193
W	W460X177	177
W	W460X158	158
W	W460X144	144
W	W460X128	128
W	W460X113	113
W	W460X106	106
W	W460X97	97
W	W460X89	89
W	W460X82	82
W	W460X74	74
W	W460X68	68
W	W460X60	60
W	W460X52	52
W	W410X149	149
W	W410X132	132
W	W410X114	114
W	W410X100	100
W	W410X85	85
W	W410X75	75
W	W410X67	67
W	W410X60	60
W	W410X53	53
W	W410X46.1	46.1
W	W410X38.8	38.8
W	W360X1086	1090
W	W360X990	990
W	W360X900	900
W	W360X818	818
W	W360X744	744
W	W360X677	677
W	W360X634	634
W	W360X592	592
W	W360X551	551
W	W360X509	509
W	W360X463	463
W	W360X421	421
W	W360X382	382
W	W360X347	347
W	W360X314	314
W	W360X287	287
W	W360X262	262
W	W360X237	237
W	W360X216	216
W	W360X196	196
W	W360X179	179
W	W360X162	162
W	W360X147	147
W	W360X134	134
W	W360X122	122
W	W360X110	110
W	W360X101	101
W	W360X91	91
W	W360X79	79
W	W360X72	72
W	W360X64	64
W	W360X57.8	57.8
W	W360X51	51
W	W360X44	44
W	W360X39	39
W	W360X32.9	32.9
W	W310X500	500
W	W310X454	454
W	W310X415	415
W	W310X375	375
W	W310X342	342
W	W310X313	313
W	W310X283	283
W	W310X253	253
W	W310X226	226
W	W310X202	202
W	W310X179	179
W	W310X158	158
W	W310X143	143
W	W310X129	129
W	W310X117	117
W	W310X107	107
W	W310X97	97
W	W310X86	86
W	W310X79	79
W	W310X74	74
W	W310X67	67
W	W310X60	60
W	W310X52	52
W	W310X44.5	44.5
W	W310X38.7	38.7
W	W310X32.7	32.7
W	W310X28.3	28.3
W	W310X23.8	23.8
W	W310X21	21
W	W250X167	167
W	W250X149	149
W	W250X131	131
W	W250X115	115
W	W250X101	101
W	W250X89	89
W	W250X80	80
W	W250X73	73
W	W250X67	67
W	W250X58	58
W	W250X49.1	49.1
W	W250X44.8	44.8
W	W250X38.5	38.5
W	W250X32.7	32.7
W	W250X28.4	28.4
W	W250X25.3	25.3
W	W250X22.3	22.3
W	W250X17.9	17.9
W	W200X100	100
W	W200X86	86
W	W200X71	71
W	W200X59	59
W	W200X52	52
W	W200X46.1	46.1
W	W200X41.7	41.7
W	W200X35.9	35.9
W	W200X31.3	31.3
W	W200X26.6	26.6
W	W200X22.5	22.5
W	W200X19.3	19.3
W	W200X15	15
W	W150X37.1	37.1
W	W150X29.8	29.8
W	W150X22.5	22.5
W	W150X24	24
W	W150X18	18
W	W150X13.5	13.5
W	W150X13	13
W	W130X28.1	28.1
W	W130X23.8	23.8
W	W100X19.3	19.3
HSS	HSS508X12.7	155
HSS	HSS508X9.5	117
HSS	HSS457.2X12.7	139
HSS	HSS457.2X9.5	105
HSS	HSS406.4X15.9	153
HSS	HSS406.4X12.7	123
HSS	HSS406.4X11.1	108
HSS	HSS406.4X9.5	93.2
HSS	HSS406.4X7.9	77.9
HSS	HSS406.4X6.4	62.6
HSS	HSS355.6X15.9	133
HSS	HSS355.6X12.7	107
HSS	HSS355.6X9.5	81.3
HSS	HSS355.6X7.9	67.9
HSS	HSS355.6X6.4	54.7
HSS	HSS323.9X12.7	97.4
HSS	HSS323.9X9.5	73.8
HSS	HSS323.9X6.4	49.7
HSS	HSS273.1X12.7	81.5
HSS	HSS273.1X9.5	61.9
HSS	HSS273.1X6.4	41.8
HSS	HSS254X15.9	93.2
HSS	HSS254X12.7	75.6
HSS	HSS254X9.5	57.4
HSS	HSS254X7.9	48.1
HSS	HSS254X6.4	38.8
HSS	HSS254X4.8	29.3
HSS	HSS244.5X12.7	72.6
HSS	HSS244.5X9.5	55.2
HSS	HSS244.5X7.9	46.2
HSS	HSS244.5X6.4	37.3
HSS	HSS244.5X4.8	28.2
HSS	HSS219.1X15.9	79.5
HSS	HSS219.1X12.7	64.6
HSS	HSS219.1X9.5	49.2
HSS	HSS219.1X8.2	42.5
HSS	HSS219.1X6.4	33.3
HSS	HSS219.1X4.8	25.2
HSS	HSS193.7X9.5	43.2
HSS	HSS193.7X8.3	38.1
HSS	HSS190.5X12.7	55.7
HSS	HSS190.5X9.5	42.5
HSS	HSS190.5X7.9	35.7
HSS	HSS190.5X6.4	28.8
HSS	HSS190.5X4.8	21.9
HSS	HSS177.8X12.7	51.7
HSS	HSS177.8X9.5	39.5
HSS	HSS177.8X7.9	33.2
HSS	HSS177.8X6.4	26.8
HSS	HSS177.8X4.8	20.4
HSS	HSS177.8X3.2	13.7
HSS	HSS174.6X12.7	50.7
HSS	HSS174.6X9.5	38.8
HSS	HSS174.6X7.9	32.6
HSS	HSS174.6X6.4	26.3
HSS	HSS174.6X4.8	20
HSS	HSS168.3X12.7	48.7
HSS	HSS168.3X11	42.6
