node_ID,X,Y,Z,member_ID,ground?,load_bearing?,U1,U2,U3,R1,R2,R3,remove?,add_back?
P000000,1000.0,0.0,0.0,CO0001,True,False,True,True,True,True,True,True,False,False
P000100,1000.0,-2000.0,0.0,CO0002,True,False,True,True,True,True,True,True,False,False
P000200,1000.0,-4000.0,0.0,CO0003,True,False,True,True,True,True,True,True,False,False
P000300,1000.0,-6000.0,0.0,CO0004,True,False,True,True,True,True,True,True,False,False
P000400,1000.0,-8000.0,0.0,CO0005,True,False,True,True,True,True,True,True,False,False
P000500,1000.0,-10000.0,0.0,CO0006,True,True,True,True,True,True,True,True,False,False
P000001,3000.0,0.0,0.0,CO0007,True,False,True,True,True,True,True,True,False,False
P000101,3000.0,-2000.0,0.0,CO0008,True,False,True,True,True,True,True,True,False,False
P000201,3000.0,-4000.0,0.0,CO0009,True,False,True,True,True,True,True,True,False,False
P000301,3000.0,-6000.0,0.0,CO0010,True,False,True,True,True,True,True,True,False,False
P000401,3000.0,-8000.0,0.0,CO0011,True,False,True,True,True,True,True,True,False,False
P000501,3000.0,-10000.0,0.0,CO0012,True,False,True,True,True,True,True,True,False,False
P000601,3000.0,-12000.0,0.0,CO0013,True,True,True,True,True,True,True,True,False,False
P000801,3000.0,-16000.0,0.0,BE0025,True,False,True,True,True,True,True,True,False,False
P000901,3000.0,-18000.0,0.0,CO0014,True,True,True,True,True,True,True,True,False,False
P000002,5000.0,0.0,0.0,CO0015,True,False,True,True,True,True,True,True,False,False
P000102,5000.0,-2000.0,0.0,CO0016,True,False,True,True,True,True,True,True,False,False
P000202,5000.0,-4000.0,0.0,CO0017,True,False,True,True,True,True,True,True,False,False
P000302,5000.0,-6000.0,0.0,CO0018,True,False,True,True,True,True,True,True,False,False
P000402,5000.0,-8000.0,0.0,CO0019,True,False,True,True,True,True,True,True,False,False
P000502,5000.0,-10000.0,0.0,CO0020,True,False,True,True,True,True,True,True,False,False
P000602,5000.0,-12000.0,0.0,CO0021,True,False,True,True,True,True,True,True,False,False
P000702,5000.0,-14000.0,0.0,CO0022,True,True,True,True,True,True,True,True,False,False
P000802,5000.0,-16000.0,0.0,CO0023,True,False,True,True,True,True,True,True,False,False
P000902,5000.0,-18000.0,0.0,CO0024,True,True,True,True,True,True,True,True,False,False
P000003,7000.0,0.0,0.0,CO0025,True,False,True,True,True,True,True,True,False,False
P000103,7000.0,-2000.0,0.0,CO0026,True,False,True,True,True,True,True,True,False,False
P000203,7000.0,-4000.0,0.0,CO0027,True,False,True,True,True,True,True,True,False,False
