member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BE0001,P000000,P000100,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0002,P000000,P000001,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0001,P000000,P000101,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0002,P000000,P010100,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0003,P000000,P010001,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0003,P000100,P000200,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0004,P000100,P000001,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0004,P000100,P000101,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0005,P000100,P000201,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0006,P000100,P010000,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0007,P000100,P010200,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0008,P000100,P010101,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0005,P000200,P000300,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0009,P000200,P000101,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0006,P000200,P000201,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0010,P000200,P000301,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0011,P000200,P010100,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0012,P000200,P010300,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0013,P000200,P010201,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0007,P000300,P000400,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0014,P000300,P000201,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0008,P000300,P000301,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0015,P000300,P000401,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0016,P000300,P010200,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0017,P000300,P010400,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0018,P000300,P010301,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0009,P000400,P000500,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0019,P000400,P000301,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0010,P000400,P000401,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0020,P000400,P000501,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0021,P000400,P010300,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0022,P000400,P010500,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0023,P000400,P010401,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0024,P000500,P000401,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0011,P000500,P000501,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0025,P000500,P000601,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0026,P000500,P010400,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0027,P000500,P010501,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0012,P000001,P000101,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0013,P000001,P000002,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0028,P000001,P000102,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0029,P000001,P010000,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0030,P000001,P010101,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0031,P000001,P010002,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0014,P000101,P000201,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0032,P000101,P000002,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BE0015,P000101,P000102,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0033,P000101,P000202,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0034,P000101,P010100,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
BR0035,P000101,P010001,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
CO0001,P000000,P010000,HSS127X127X12.7,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0036,P000101,P010201,HSS127X127X12.7,True,True,True,True,False,False,True,True,True,True,False,False,True
